"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Amaranthaceae undif.","Ambrosia t.","Artemisia","Asteraceae","Balanites","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Capparis","Celtis","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Cyperaceae","Ephedra","Grewioideae","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Jacquemontia t.","Justicia t.","Lannea","Maerua","Mitracarpus","Nyctaginaceae","Oldenlandia","Olea t.","Phyllanthus undif.","Piliostigma","Poaceae","Ruellia","Salvadora","Sterularia","Tamarix","Tribulus","Typha","Ziziphus/Paliurus"
"6469.471"," 276.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","1064.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000"
"6695.529"," 285.000","   1.000","   9.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   4.000","  78.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000"," 583.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000"
"6996.941"," 297.000","   4.000","  28.000","   2.000","   2.000","   1.000","   4.000","   2.000","   0.000","   6.000","   0.000","   1.000","   3.000","  16.000","   0.000","   0.000","   4.000","  12.000","   3.000"," 327.000","   0.000","   4.000","   1.000","   1.000","   1.000","   4.000","   0.000","   0.000","  19.000","   4.000","   1.000","   0.000","   2.000","   3.000","   1.000","   2.000"," 716.000","   0.000","   2.000","   0.000","   0.000","   1.000","  24.000","   0.000"
"7223"," 306","  19","  28","   1","   1","   5","   3","   0","   2","   3","   0","   9","   0","  65","   0","   2","   0","  72","   4"," 260","   1","   1","   1","   0","   1","   7","   1","   1","   3","   4","   0","   0","   0","   1","   2","  14","1326","   0","   0","   1","   1","   0","  22","   0"
"7398.824"," 313.000","  11.000","  42.000","   2.000","   0.000","   6.000","   0.000","   8.000","   0.000","   2.000","   0.000","   0.000","   0.000","  39.000","   0.000","   0.000","   0.000","  49.000","   0.000"," 448.000","   3.000","   8.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","  11.000","   2.000","   1.000","   6.000","2424.000","   0.000","   0.000","   0.000","   0.000","   0.000","  62.000","   0.000"
"7599.765"," 321.000","   1.000","  15.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   7.000","   1.000","   0.000","   0.000","  12.000","   0.000"," 203.000","   2.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000"," 793.000","   0.000","   5.000","   0.000","   3.000","   0.000","  24.000","   0.000"
"7825.824"," 330.000","   2.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   6.000","   0.000"," 248.000","   3.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 632.000","   0.000","   2.000","   0.000","   6.000","   0.000","  98.000","   2.000"
"8026.765"," 338.000","   3.000","  32.000","   0.000","   3.000","   4.000","   4.000","   2.000","   0.000","   0.000","   0.000","   7.000","   1.000","   0.000","   0.000","   0.000","   1.000","  10.000","   0.000"," 315.000","   0.000","  12.000","   0.000","   2.000","   0.000","   5.000","   0.000","   0.000","   2.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000"," 581.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 217.000","   0.000"
"8227.706"," 346.000","   1.000","  13.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000"," 209.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000"," 463.000","   0.000","   5.000","   0.000","   1.000","   1.000","  82.000","   0.000"
"8453.765"," 355.000","   2.000","  11.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   1.000"," 168.000","   1.000","   2.000","   7.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   5.000"," 467.000","   0.000","   0.000","   0.000","   0.000","   0.000","  26.000","   0.000"
"8704.941"," 365.000","   0.000"," 196.000","   0.000","   0.000","   0.000","   8.000","  20.000","   0.000","  22.000","   4.000","   0.000","   6.000","  45.000","   0.000","   5.000","   0.000","  29.000","   0.000","1824.000","   4.000","   7.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","  13.000","2036.000","   0.000","   9.000","   0.000","   0.000","   0.000"," 144.000","   0.000"
"8905.883"," 373.000","   3.000","  31.000","   3.000","   0.000","   4.000","   1.000","   1.000","   0.000","   1.000","   0.000","   4.000","   0.000","  30.000","   0.000","   0.000","   0.000","  25.000","   3.000"," 260.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   5.000","   3.000","   0.000","   8.000","   0.000","   0.000","   4.000"," 470.000","   1.000","   0.000","   0.000","   0.000","   1.000","  79.000","   0.000"
"9147.255"," 381.000","   0.000","  20.000","   2.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   4.000","   0.000","   3.000","   0.000","   8.000","   0.000"," 197.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   4.000","   0.000","   0.000","   4.000"," 398.000","   0.000","   6.000","   0.000","   0.000","   0.000"," 128.000","   0.000"
"9394.404"," 389.000","   2.000","   8.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 107.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 193.000","   0.000","   1.000","   0.000","   0.000","   0.000","  41.000","   0.000"
"9641.553"," 397.000","   0.000","   9.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","  78.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   2.000"," 387.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 228.000","   0.000"
"9981.383"," 408.000","   4.000","  20.000","   0.000","   0.000","   0.000","   4.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   4.000"," 405.000","   0.000","   3.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   8.000"," 501.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 113.000","   0.000"
"10228.53","  416.00","    4.00","   18.00","    0.00","    0.00","    2.00","    0.00","    0.00","    4.00","    5.00","    0.00","    0.00","    0.00","    3.00","    0.00","    4.00","    1.00","    0.00","    4.00","  232.00","    2.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","  498.00","    0.00","    3.00","    0.00","    0.00","    0.00","  282.00","    0.00"
"  0","426","  0"," 33","  0","  0","  5","  1","  0","  1","  0","  0","  0","  0","  9","  0","  1","  0","  4","  0","293","  0","  2","  0","  0","  0","  3","  0","  0","  5","  0","  0","  0","  0","  3","  0","  0","613","  0","  0","  0","  0","  0","143","  0"
"  0","435","  0"," 63","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","262","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","340","  0","  0","  0","  0","  0","115","  0"
"  0","459","  0"," 23","  0","  0","  3","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","392","  3","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","318","  0","  1","  0","  0","  0","161","  0"
"  0","464","  0"," 31","  0","  0","  2","  1","  0","  0","  3","  0","  2","  1","  6","  0","  0","  0","  0","  0","355","  0","  0","  0","  0","  0","  3","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","272","  0","  0","  0","  0","  0"," 92","  0"
"  0","470","  1"," 55","  0","  0","  0","  3","  0","  1","  1","  1","  0","  0","  3","  0","  0","  0","  0","  0","427","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","286","  1","  0","  0","  0","  0","141","  0"
"  0","476","  3"," 11","  0","  0","  2","  4","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","205","  2","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","335","  0","  0","  0","  2","  0"," 27","  0"
