"Depth (cm)","Acacia t.","Aizoaceae t.","Alchornea","Alismataceae","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Anthemideae undif.","Anthostema","Artemisia","Asphodelus t.","Asteroideae undif.","Avicennia","Balanites","Blepharis","Blighia","Boscia","Brassicaceae","Bridelia","Cadaba","Calligonum","Caryophyllaceae undif.","Cassia","Celastraceae/Hippocrateaceae","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Combretaceae","Commiphora","Connaraceae","Cordia","Cucurbitaceae undif.","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Entada","Ephedra","Erica t.","Euphorbia t.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Funtumia","Grewioideae","Heliotropium","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Indigofera","Lannea","Leea","Leonotis","Macaranga","Mallotus","Marker, added","Marker, found","Mitracarpus","Monoletes","Morelia","Morella","Nyctaginaceae","Olea t.","Paronychieae","Phoenix t.","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Poaceae","Quercus undif.","Resedaceae undiff.","Rhamnus","Rhizophora","Rubiaceae undif.","Rumex t.","Sapotaceae/Meliaceae","Searsia","Solanum","Spermacoce","Stereospermum","Thymelaeaceae undif.","Tribulus","Triletes","Typha","Uapaca","Urtica t.","Vigna","Volume [ml]","Zanthoxylum","Ziziphus/Paliurus","Zygophyllum t."
"    2","    2","    0","    0","    0","    0","   50","    0","    4","    0","    7","    0","   12","    1","    0","    0","    0","    3","    1","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0","    0","    0","    0","   35","    0","    0","    0","    0","    2","    1","    1","    1","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","37168"," 4559","    1","    2","    0","    1","    1","    0","    0","    0","    0","    1","    0","    1","   13","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    2","    0","    0","    0"
"   14","    1","    1","    2","    0","    0","   77","    0","    4","    0","    0","    0","   20","    0","    0","    0","    0","    2","    0","    0","    0","    3","   36","    0","    0","    0","    0","    1","    0","    6","    0","    0","    1","    2","    0","    0","   65","    0","    0","    0","    0","    2","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    8","    0","    1","    0","    0","    0","    0","37168"," 3449","    1","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    2","   32","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0"
"   23","    1","    1","    1","    0","    0","   42","    0","    9","    0","    1","    0","   11","    0","    0","    0","    0","    3","    0","    0","    0","    2","   19","    0","    0","    0","    1","    0","    0","    5","    0","    2","    1","    0","    0","    0","   31","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","37168"," 1794","    1","    2","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   10","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    1","    0","    0","    1","    1","    0","    0","    0","    6","    0","    0","    0"
"   34","    2","    0","    0","    0","    0","   65","    0","   10","    0","    0","    1","   15","    0","    1","    0","    0","    3","    1","    0","    0","    1","   16","    1","    0","    2","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","   57","    0","    0","    0","    1","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","37168"," 3913","    0","    0","    1","    1","    0","    1","    0","    1","    0","   17","    0","    1","   36","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    2","    1","    0","    0","    5","    0","    0","    0"
"   36.0","    2.0","    0.0","    0.0","    2.0","    0.0","   48.0","    0.0","    5.0","    0.0","    2.0","    0.0","   12.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","   72.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    1.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 2537.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    9.0","    0.0","    1.0","   28.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    4.5","    0.0","    0.0","    0.0"
"   41","    3","    0","    1","    0","    0","   39","    0","    6","    0","    6","    0","   12","    0","    1","    0","    0","    3","    4","    0","    0","    1","   11","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","   93","    0","    0","    0","    0","    4","    0","    1","    1","    4","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","37168"," 5267","    0","    1","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","   21","    0","    2","    0","    4","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0"
"   46.0","    1.0","    0.0","    2.0","    2.0","    0.0","   60.0","    0.0","    8.0","    0.0","    5.0","    0.0","   17.0","    0.0","    0.0","    0.0","    0.0","    4.0","    1.0","    0.0","    0.0","    2.0","   12.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","   98.0","    1.0","    0.0","    0.0","    0.0","    8.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 4013.0","    1.0","    4.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","   10.0","    0.0","    0.0","   43.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    3.0","    0.0","    0.0","    0.0","    5.5","    0.0","    0.0","    0.0"
"   49","    1","    1","    0","    0","    0","   60","    0","    5","    0","    0","    0","   11","    0","    0","    0","    0","    1","    0","    0","    0","    3","   14","    1","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","   93","    0","    0","    0","    0","    7","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","37168"," 3679","    3","    1","    0","    0","    0","    1","    0","    0","    0","   17","    0","    0","   26","    0","    0","    0","    2","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0","    0","    2","    0","    0","    5","    0","    0","    1"
"   52","    3","    0","    1","    0","    0","   27","    0","    7","    0","    0","    1","    5","    0","    0","    1","    0","    0","    1","    0","    0","    2","    4","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   71","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","37168"," 4423","    0","    1","    0","    1","    0","    0","    0","    0","    0","    5","    0","    0","   26","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0"
"   56.0","    1.0","    1.0","    1.0","    0.0","    0.0","   42.0","    0.0","    6.0","    0.0","    2.0","    1.0","   12.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    3.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","  109.0","    0.0","    0.0","    0.0","    0.0","    5.0","    1.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","74336.0"," 7770.0","    1.0","    2.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","   12.0","    0.0","    1.0","   56.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    4.5","    0.0","    0.0","    0.0"
"   62","    3","    0","    1","    0","    0","   31","    0","    6","    0","    0","    0","    7","    1","    0","    0","    0","    0","    1","    0","    0","    1","    8","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","   54","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","37168"," 2464","    1","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","   17","    0","    0","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    5","    0","    0","    0"
"   65","    0","    0","    0","    0","    0","   23","    0","    0","    0","    2","    0","    6","    0","    1","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","   68","    0","    0","    1","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","37168"," 3187","    1","    0","    0","    1","    0","    0","    0","    0","    0","    7","    0","    0","   29","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    4","    0","    0","    0"
"   67","    4","    0","    0","    2","    0","   41","    0","    5","    0","    0","    0","    6","    0","    0","    0","    1","    0","    2","    0","    0","    1","   13","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","   98","    0","    0","    0","    0","    7","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","37168"," 3413","    2","    2","    0","    0","    0","    3","    0","    0","    0","    8","    0","    1","   27","    0","    3","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    5","    0","    0","    0"
"   70.5","    1.0","    0.0","    0.0","    0.0","    0.0","   34.0","    0.0","    1.0","    0.0","    2.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    5.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","   57.0","    0.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 2031.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","   32.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0"
"   74.0","    0.0","    0.0","    0.0","    0.0","    0.0","   20.0","    0.0","    3.0","    0.0","    1.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    1.0","    3.0","    0.0","    0.0","    0.0","    3.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    1.0","    0.0","    0.0","    0.0","   55.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","74336.0"," 7189.0","    5.0","    5.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","   10.0","    0.0","    0.0","   44.0","    1.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    4.5","    0.0","    0.0","    0.0"
"   76","    1","    0","    1","    0","    0","   20","    0","    0","    0","    1","    0","    7","    1","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    5","    0","    1","    0","    0","    0","    0","   69","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    1","    0","    0","37168"," 3314","    2","    5","    0","    2","    0","    1","    0","    0","    0","   10","    0","    0","   30","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    4","    0","    0","    0","    4","    0","    0","    0"
"   78.5","    1.0","    0.0","    0.0","    0.0","    1.0","   24.0","    0.0","    1.0","    0.0","    1.0","    0.0","    7.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    1.0","   48.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 2206.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   10.0","    0.0","    1.0","   23.0","    0.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    1.0","    0.0","    4.5","    0.0","    0.0","    0.0"
"   81","    0","    0","    2","    0","    0","   21","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","   60","    0","    0","    0","    0","    5","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","37168"," 3440","    0","    4","    0","    0","    0","    2","    0","    0","    0","    4","    2","    0","   33","    1","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    1","    1","    0","    3","    0","    0","    0"
"   84","    3","    0","    1","    0","    0","   11","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","   42","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","37168"," 3413","    0","    1","    0","    0","    0","    1","    0","    0","    0","    4","    0","    1","   25","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0"
"   88.0","    1.0","    0.0","    0.0","    0.0","    0.0","   12.0","    0.0","    2.0","    0.0","    2.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   38.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 3348.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    8.0","    0.0","    1.0","   48.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    3.5","    0.0","    0.0","    0.0"
"  100","    1","    0","    1","    0","    0","   21","    0","    0","    0","    2","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   71","    0","    0","    0","    0","    3","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","37168"," 4595","    1","    2","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","   47","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0","    3","    0","    0","    0"
"  112","    0","    0","    3","    1","    0","   40","    2","    1","    0","    3","    0","    5","    0","    0","    0","    0","    1","    2","    0","    0","    0","    4","    0","    0","    2","    1","    0","    0","    1","    0","    2","    0","    1","    0","    0","  108","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","37168"," 3102","    2","    2","    0","    1","    0","    1","    0","    0","    0","    6","    1","    1","   71","    1","    0","    0","   13","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","   10","    0","    1","    0","    5","    1","    0","    0"
"  124.5","    0.0","    0.0","    2.0","    0.0","    0.0","   39.0","    0.0","    0.0","    1.0","    1.0","    0.0","    7.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    1.0","    6.0","    0.0","    2.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","   96.0","    0.0","    0.0","    0.0","    0.0","    9.0","    0.0","    4.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","37168.0"," 1247.0","    3.0","    8.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","   11.0","    0.0","    0.0","   72.0","    0.0","    1.0","    0.0","    8.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","   11.0","    0.0","    0.0","    0.0","    7.5","    0.0","    0.0","    0.0"
"  136.5","    1.0","    0.0","    1.0","    0.0","    0.0","   60.0","    0.0","    1.0","    2.0","    0.0","    0.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    6.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","  127.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0"," 1016.0","    1.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","   73.0","    0.0","    3.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    5.0","    0.0","    0.0","    0.0","    9.0","    0.0","    0.0","    1.0"
"  148.5","    0.0","    0.0","    2.0","    0.0","    0.0","   71.0","    0.0","    3.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  136.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","37168.0","  768.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","   77.0","    1.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","    0.0"
"  155.5","    0.0","    0.0","    0.0","    0.0","    0.0","   89.0","    0.0","    2.0","    0.0","    1.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","   20.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  137.0","    0.0","    0.0","    0.0","    0.0","    9.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","37168.0","  914.0","    1.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","   53.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    7.5","    0.0","    0.0","    0.0"
