"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Geraniaceae undif.","Hydrocharitaceae","Hypericum undif.","Lamiaceae undif.","Lotus t.","Lysimachia","Malva undif.","Myrtus","Nuphar","Olea t.","Onagraceae","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Spike","Thalictrum","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Verbenaceae undif.","Zygnema/Spirogyra"
" 3173"," 3824"," 2527"," 32","1","4","0","4","0","1","0","0","1","1","0","5","1","1","0","45","0","0","10","0","0","21","0","0","0","0","3","0","0","0","0","0","1","0","0","126","0","4","44","0","10","43","0","0","0","0","0","0","0","0","0","34","1","12","0","0","94"
" 3336"," 3949"," 2730"," 37","0","4","0","1","2","3","1","0","1","0","0","4","0","0","1","62","0","0","9","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","7","27","0","5","25","0","0","0","0","0","0","0","0","0","35","0","2","0","0","156"
" 3500"," 4073"," 2933"," 42","0","5","0","0","3","4","0","0","0","0","1","4","5","0","0","73","0","0","12","0","0","37","0","0","0","1","2","0","0","0","0","1","0","0","1","95","0","1","41","0","4","59","1","0","0","0","0","0","0","0","0","34","0","1","0","0","137"
" 3696"," 4222"," 3177"," 48","0","5","0","1","6","8","1","0","1","0","0","6","7","0","1","89","0","0","16","0","0","70","0","0","0","0","2","0","0","0","0","3","4","1","4","71","4","0","57","1","10","95","0","0","0","0","1","0","0","0","0","16","0","10","0","0","188"
" 3827"," 4320"," 3337"," 52","6","1","1","1","10","3","1","1","1","1","0","5","10","0","3","106","1","0","7","0","0","53","1","0","0","0","5","0","0","0","0","0","8","0","3","91","1","6","61","1","16","114","0","0","0","0","0","2","0","0","0","28","0","10","0","0","187"
" 3990"," 4444"," 3539"," 57","1","5","0","5","9","3","1","1","0","0","2","3","7","2","1","63","2","0","15","0","0","49","3","0","0","0","2","0","6","0","1","0","7","0","6","115","2","4","28","0","10","98","0","0","0","0","3","0","0","1","0","0","3","0","2","0","171"
" 4088"," 4518"," 3659"," 60","0","4","1","14","8","1","1","0","0","5","4","0","3","3","1","103","1","0","10","0","0","34","0","0","0","0","2","1","0","0","1","0","7","0","0","117","2","17","65","0","7","119","2","0","1","0","0","0","0","2","0","2","0","5","1","1","150"
" 4251"," 4641"," 3859"," 65","2","3","0","16","5","5","1","0","0","1","2","7","5","2","0","29","0","0","8","0","0","45","0","0","0","0","1","0","0","0","0","0","3","0","1","121","2","7","27","0","3","77","2","0","0","0","2","0","0","0","0","4","0","5","0","0","146"
" 4415"," 4766"," 4060"," 70","3","1","2","2","14","1","1","0","1","2","0","3","5","0","1","21","0","0","3","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","144","0","4","26","1","3","33","0","0","3","0","1","0","0","0","2","0","0","1","0","0","175"
" 4578"," 4892"," 4260"," 75","1","2","0","0","9","6","4","0","0","0","0","2","0","4","0","17","2","2","1","0","0","92","0","0","0","0","1","0","0","0","0","0","0","0","2","138","0","5","34","0","2","34","3","0","0","3","0","0","0","1","0","4","0","0","0","0","184"
" 4742"," 5022"," 4462"," 80","0","0","0","0","3","0","2","0","0","0","0","34","1","0","2","12","2","1","0","0","0","144","0","0","0","0","2","0","0","0","0","0","0","0","0","96","0","0","12","0","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","72"
" 4905"," 5155"," 4664"," 85","0","2","0","0","8","8","1","0","0","0","0","34","0","0","1","12","0","0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","3","0","0","88","0","3","34","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68"
" 5068"," 5285"," 4860"," 90","0","8","3","0","16","5","0","0","0","0","0","9","0","0","1","24","0","0","0","1","0","103","0","0","0","0","0","0","0","0","0","0","0","0","0","117","0","5","8","0","0","28","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20"
" 5232"," 5422"," 5053"," 95","0","6","0","0","17","4","0","0","1","0","0","2","0","0","2","37","0","0","0","0","0","49","0","0","0","0","0","0","0","1","0","0","0","0","1","110","0","2","38","0","2","7","0","0","0","1","0","0","0","0","0","1","0","3","0","0","26"
" 5395"," 5559"," 5234","100","0","6","0","0","16","2","0","0","0","0","0","2","0","0","0","4","0","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","132","0","0","36","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39"
" 5559"," 5697"," 5405","105","0","1","0","0","11","3","0","0","0","0","0","0","2","0","0","9","0","1","0","0","1","35","0","0","0","0","0","0","0","0","0","0","0","0","0","190","0","2","10","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22"
" 5722"," 5842"," 5580","110","0","6","0","0","11","5","0","0","0","0","0","3","0","0","4","5","1","1","0","0","0","28","0","0","1","0","0","0","0","0","0","0","0","0","0","156","0","1","19","0","4","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","13"
" 5885"," 6002"," 5745","115","0","8","0","3","14","9","0","0","0","1","1","0","0","0","2","6","0","0","0","0","0","20","0","0","0","0","1","0","0","0","0","0","0","0","0","185","0","1","22","1","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","14"
" 6990"," 7109"," 6852","120","0","3","0","1","30","6","0","0","0","0","2","5","0","0","0","7","1","0","0","0","0","28","0","0","0","0","1","0","0","0","0","0","0","0","0","237","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","74"
" 8095"," 8231"," 7944","125","0","4","0","2","29","2","2","0","0","0","2","5","0","0","2","0","0","1","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
" 9200"," 9359"," 9033","130","0","3","0","10","22","10","0","0","0","0","4","0","1","0","3","6","0","0","1","0","1","16","0","0","0","0","1","0","0","0","0","0","0","0","0","203","0","2","32","0","2","2","0","0","0","0","0","1","0","0","0","1","0","1","0","0","39"
"10304","10487","10115","135","0","7","0","4","35","6","0","1","0","0","1","1","0","0","3","21","1","2","0","0","0","16","0","1","0","0","0","0","0","0","0","0","0","0","0","169","0","1","22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"11409","11618","11192","140","0","12","0","4","40","6","1","0","0","4","0","9","0","0","3","13","2","2","0","0","0","15","0","0","0","0","2","0","0","0","0","0","0","0","0","189","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"12514","12750","12263","145","0","3","3","66","26","1","0","0","0","0","0","2","0","0","1","17","0","1","0","0","0","29","0","0","0","0","1","0","0","0","0","0","0","0","0","239","0","0","65","1","0","2","0","1","0","0","0","0","0","0","0","1","0","1","0","0","38"
"13619","13883","13330","150","0","0","0","0","8","1","0","0","0","0","0","0","0","0","3","13","1","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","330","0","1","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","33"
"14723","15019","14396","155","0","0","0","0","15","3","0","0","0","0","0","0","4","0","0","3","1","0","2","0","1","32","0","0","0","0","0","0","0","0","0","0","0","0","0","238","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","27"
"15828","16157","15461","160","0","1","0","2","13","1","1","0","0","0","1","0","2","0","3","2","0","1","1","0","0","27","0","0","0","0","1","0","0","0","0","0","0","0","0","269","0","0","22","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3"
"16933","17299","16526","165","0","2","0","3","28","3","0","0","0","0","0","0","3","0","2","6","0","2","1","0","0","28","0","0","0","0","2","0","0","0","0","2","0","0","0","244","0","1","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","28"
"18038","18440","17590","170","0","1","0","0","30","1","5","0","0","0","0","0","0","0","0","14","0","2","3","0","0","77","0","0","0","0","0","0","0","0","0","3","0","0","0","78","0","0","28","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6"
"19142","19583","18653","175","0","0","0","2","36","2","4","0","2","0","0","0","4","1","0","10","0","3","20","0","0","58","0","0","0","0","0","0","0","0","0","6","0","0","0","102","0","0","16","0","2","4","0","0","0","0","0","0","0","0","0","1","0","16","0","0","50"
