"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lythrum","Malva","Matthiola","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum boryanum var. longicorne","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Vitis","Zea"
" -10"," 499","-505"," 100","   2","   0","1264","   0","   7","   5","   1","   2","   3","   9","   5","   3","  26","   0","   1","   0","   0","   0","   0","   3","   0","   3","   2","   1","   0","   0","   3","   0","   0","   7","  14","  21","   0","   0","   0","   0","   0","   0","  19","  12","   1","   4","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   1","   0","   3","   4","   0","   0","   0","   0","   2","   0","  29","   0","  20","   7"," 149","  27","   5","   0","   0","   1","   0","   0","9999"," 103","   5","   3","   0","   1","  10","   2","   0","   0","   0","   1","   0","  18","   0","   0","   0","   0","   2","   1","  16","   0","   0","   0","   0","   1"
" 207"," 683","-256"," 110","   2","   0","3197","   0","   5","   9","   0","   2","   2","  11","   5","   0","  22","   0","   0","   0","   0","   0","   0","   1","   1","   6","   0","   0","   0","   0","   1","   0","   0","   3","  13","  13","   0","   0","   2","   0","   3","   0","  30","  11","   0","   4","   0","   0","   0","   0","   0","   2","   5","   1","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","  47","   1","  18","   6"," 126","  23","   3","   0","   1","   0","   0","   0","4968"," 115","   4","   1","   0","   0","  13","   3","   0","   3","   0","   0","   0","  13","   0","   0","   0","   0","   3","   3","  10","   0","   0","   0","   0","   1"
" 532"," 960"," 117"," 125","   3","   1","3500","   0","  30","  38","   0","   5","   5","  25","   7","   1","  53","   0","  12","   0","   0","   0","   0","   4","   0","   6","   1","   0","   1","   2","   5","   0","   1","  13","  11","  23","   0","   0","   1","   0","   1","   0","  44","  17","   0","   6","   1","   0","   0","   1","   3","   4","   3","   0","   0","   0","   4","   0","   0","   0","   0","   1","   2","   1","   0","   0","   0","   4","   0","  74","   1","   9","   4"," 183","  21","   8","   0","   0","   0","   0","   0"," 140"," 243","   4","   2","   0","   0","  14","   8","   0","   0","   1","   0","   1","  25","   0","   0","   1","   2","   3","   1","  20","   6","   0","   0","   2","   1"
" 748","1144"," 364"," 135","   4","   0"," 330","   1","  27","  10","   0","   4","   2","  16","   5","   0","  61","   0","  10","   0","   0","   0","   0","   5","   0","   9","   0","   2","   0","   3","   0","   0","   0","   5","  18","  33","   0","   0","   0","   0","   1","   0","  47","  12","   0","   8","   4","   0","   0","   0","   3","   6","   2","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   1","   0","   0","   0","   1","   0","  65","   1","  17","   4"," 220","  23","   4","   0","   1","   0","   0","   0","3480"," 343","   3","   3","   1","   0","  14","   2","   0","   0","   6","   0","   0","  19","   0","   0","   1","   0","   3","   1","  32","   2","   1","   0","   3","   0"
"1073","1423"," 737"," 150","   5","   0","3456","   0","  18","  21","   0","   3","   2","  22","  11","   3","  66","   0","  10","   1","   1","   0","   0","   5","   0","  12","   1","   2","   0","   5","   1","   0","   0","  23","   2","  23","   0","   0","   1","   0","   1","   0","  65","  12","   0","  11","   7","   0","   1","   0","   0","   2","   5","   0","   0","   0","   1","   0","   0","   0","   3","   0","   1","   2","   0","   0","   0","   4","   0","  58","   1","  21","   3"," 235","  26","   8","   0","   1","   0","   0","   3"," 118"," 316","   3","   6","   0","   2","  15","   0","   0","   0","   0","   0","   0","  29","   0","   1","   1","   1","   1","   4","  18","   0","   0","   0","   3","   0"
"1290","1610"," 984"," 160","   7","   0"," 601","   0","  34","   2","   0","   5","   0","  11","   3","   2","  66","   1","   2","   0","   0","   0","   0","   2","   0","  10","   2","   1","   0","   5","   0","   0","   0","  15","   3","   9","   0","   2","   2","   1","   0","   0","  62","  23","   0","  14","   1","   0","   0","   0","   1","   3","   1","   0","   0","   1","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0"," 115","   1","   4","   5"," 151","  18","  11","   0","   0","   0","   0","   0","   0"," 469","   0","   0","   0","   0","   6","   3","   0","   0","   2","   0","   0","  18","   0","   0","   0","   0","   2","   2","  28","   0","   0","   0","   2","   1"
"1507","1798","1229"," 170","  12","   0"," 286","   0","  34","   6","   0","   0","   0","  15","   6","   2","  69","   0","   1","   0","   0","   2","   0","   1","   0","   8","   1","   0","   0","   2","   1","   0","   0","   8","   2","  10","   0","   0","   0","   0","   0","   0","  53","  19","   0","   8","   3","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"," 101","   0","  13","   1","  93","   9","   4","   0","   0","   0","   0","   0","   0"," 460","   1","   2","   0","   1","   7","   5","   1","   0","   1","   0","   0","   9","   0","   0","   0","   1","   2","   2","  14","   2","   0","   0","   1","   0"
"1724","1989","1472"," 180","  16","   1"," 300","   0","  29","   7","   0","   5","   2","  14","   3","   2","  86","   0","   3","   0","   0","   0","   0","   6","   0","  10","   0","   0","   0","   2","   0","   0","   0","  15","   2","  15","   0","   0","   1","   1","   0","   0","  64","  32","   0","  17","   4","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 112","   0","  10","   4"," 143","  12","   4","   0","   0","   0","   0","   0","   3"," 504","   3","   3","   0","   0","  10","   6","   1","   1","   2","   0","   0","  12","   0","   0","   0","   2","   3","   4","  24","   2","   0","   0","   0","   0"
"1940","2181","1712"," 190","   8","   2"," 647","   0","  36","  11","   0","   0","   1","  15","   4","   5"," 102","   0","   8","   0","   0","   0","   0","   1","   0","  13","   3","   0","   0","   4","   2","   0","   0","  12","   6","  15","   0","   1","   0","   0","   0","   0","  44","  34","   0","   9","   3","   0","   0","   0","   0","   2","   2","   1","   0","   1","   1","   9","   0","   0","   0","   0","   2","   2","   1","   1","   0","   1","   0"," 123","   1","   9","   3"," 170","  13","   7","   0","   0","   0","   0","   0","   6"," 537","   0","   3","   0","   0","  13","   7","   2","   1","   0","   0","   0","  25","   0","   1","   0","   1","   2","   3","  22","   0","   0","   1","   0","   0"
"2157","2375","1948"," 200","  10","   1"," 792","   1","  35","  13","   1","   4","   0","  16","  12","   2"," 111","   1","   9","   0","   0","   0","   0","   9","   0","  13","   0","   1","   1","   6","   6","   0","   0","  16","   3","  29","   1","   0","   2","   0","   2","   0","  46","  23","   1","  18","   4","   0","   0","   0","   0","   2","   4","   0","   0","   0","   1","   3","   0","   0","   0","   5","   1","  10","   0","   0","   1","   3","   0","  76","   3","  10","   6"," 212","  10","  20","   1","   0","   0","   0","   0","   2"," 461","   3","   5","   0","   0","   5","   9","   0","   0","   1","   0","   3","  13","   0","   2","   0","   0","   1","   3","  32","   1","   0","   0","   1","   0"
"2374","2567","2178"," 210","  12","   0"," 626","   0","  44","  10","   0","   0","   1","  17","   9","   6","  92","   2","  11","   0","   0","   0","   0","   1","   0","  13","   0","   2","   0","  13","   1","   0","   0","  20","   8","  15","   0","   0","   2","   0","   0","   1","  56","  14","   2","   8","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   6","   1","   0","   0","   1","   0","   0","   1","   0","   1","   2","   0","  92","   2","  11","   6"," 145","   8","   4","   0","   0","   0","   0","   0","   2"," 508","   1","   3","   0","   0","   6","   6","   1","   0","   1","   0","   1","  18","   0","   1","   3","   4","   0","   2","  12","   2","   0","   0","   2","   0"
"2699","2872","2525"," 225","  18","   1"," 450","   0","  40","   4","   0","   1","   5","  11","   5","   2"," 101","   0","   4","   0","   0","   0","   0","   6","   0","  11","   0","   0","   0","   6","   1","   0","   1","  14","   4","  18","   1","   0","   1","   0","   0","   0","  70","   7","   0","  20","   1","   0","   0","   0","   1","   5","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 129","   3","   8","   2"," 160","  18","   8","   0","   0","   0","   0","   0","   5"," 669","   4","   5","   0","   4","  13","   8","   0","   1","   1","   0","   1","  17","   0","   0","   1","   5","   3","  10","  46","   1","   0","   0","   1","   0"
"2915","3078","2741"," 235","  13","   0"," 600","   0","  50","   7","   0","   3","   4","  13","   3","   9"," 143","   0","   9","   0","   0","   0","   0","   0","   0","  20","   1","   0","   0","   5","   1","   1","   0","  22","   4","  14","   0","   1","   2","   0","   0","   0","  94","  18","   1","  12","   2","   1","   0","   0","   2","   2","   1","   0","   0","   0","   1","   2","   0","   0","   0","   2","   1","   1","   0","   0","   1","   1","   0"," 139","   2","  15","   4"," 171","  16","  15","   0","   0","   0","   0","   0","   1"," 830","   5","   2","   0","   1","  17","   5","   0","   2","   5","   0","   0","  14","   0","   0","   1","   5","   1","  10","  24","   4","   0","   0","   1","   0"
"3240","3406","3057"," 250","   2","   0"," 744","   0","  17","  10","   0","   2","   3","   8","   3","   1","  54","   1","   9","   0","   0","   0","   0","   0","   0","   9","   0","   2","   0","   1","   1","   0","   0","   8","   1","   8","   0","   0","   0","   0","   0","   0","  19","   6","   0","   8","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   7","   0","   0","   0","   2","   0","  22","   0","   7","   4"," 134","   7","   4","   0","   0","   0","   1","   3","  11"," 327","   2","   4","   0","   1","   8","   7","   0","   0","   1","   0","   2","   8","   0","   0","   0","   3","   0","   1","  16","   0","   0","   0","   5","   0"
"4065","4227","3908"," 260","  22","   2","3000","   0","  34","  16","   0","   1","   1","  26","   5","   2"," 104","   1","  12","   0","   0","   1","   0","   0","   0","  15","   1","   0","   0","   2","   0","   1","   0","  19","  31","  50","   0","   0","   2","   0","   5","   0","  38","  27","   0","  12","   7","   0","   0","   0","   4","   0","   5","   0","   0","   0","  11","   2","   0","   0","   0","   1","   1","   2","   0","   0","   0","   2","   0"," 349","   1","   5","   0"," 214","   6","  19","   0","   0","   1","   0","   0","   0"," 421","   4","   1","   0","   2","  18","   0","   1","   1","   9","   0","   1","  19","   1","   0","   4","   0","   9","   3","  36","   5","   0","   0","   0","   0"
"5498","5637","5345"," 270","  29","   1","1054","   0","  34","  10","   0","   0","   0","   5","   1","   0","  66","   0","   0","   0","   0","   0","   0","   0","   1","  10","   0","   0","   0","   0","   1","   0","   0","  32","  10","   7","   0","   0","   0","   0","   0","   0","   5","  17","   0","  10","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0"," 237","   0","   2","   0","  86","   4","   4","   0","   0","   0","   0","   0","   1"," 326","   0","   0","   0","   0","   4","   3","   0","   2","   0","   0","   0","   6","   0","   0","   6","   0","   0","  11","  26","   0","   0","   0","   0","   0"
" 6931"," 7092"," 6750","  280","   25","    0","10009","    0","   23","    7","    0","    1","    0","   18","    3","    0","   32","    0","    2","    0","    0","    0","    0","    1","    0","    5","    1","    0","    0","    0","    1","    0","    0","   29","   41","   19","    0","    0","    0","    1","    0","    0","    2","   10","    0","   12","    3","    0","    0","    0","    1","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","  190","    1","    4","    0","  137","    1","    6","    0","    0","    0","    0","    0","    7","  176","    0","    4","    0","    0","   17","    1","    0","    2","    1","    0","    4","    7","    0","    0","    2","    0","    3","   10","   20","    0","    0","    0","    2","    0"
"7934","8124","7719"," 287","  32","   1","6410","   1","  30","  19","   0","   1","   3","  24","   2","   4","  55","   0","   2","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   2","   2","   0","   0","  39","  17","  13","   0","   1","   0","   0","   0","   0","   1","  15","   0","  32","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1"," 292","   2","   8","   0"," 158","  16","  17","   0","   0","   0","   2","   0","   2"," 343","   2","   1","   0","   1","  19","   1","   0","   0","   1","   0","   1","  11","   0","   0","  16","   0","   1","  10","  10","   0","   0","   0","   3","   0"
"9009","9240","8753"," 295","  24","   1","1917","   0","  22","  10","   0","   0","   2","  49","   3","   4","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  66","  22","  18","   0","   1","   0","   0","   1","   0","   1","  28","   1","  23","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 127","   3","   1","   0"," 243","   3","  18","   0","   4","   1","   0","   0","   0"," 369","   0","   2","   0","   1","   8","   2","   0","   8","   0","   0","   0","  10","   0","   0","  11","   0","   3","  14","  20","   4","   0","   0","   0","   0"
"10155","10433"," 9846","  303","   10","    1"," 3820","    0","   42","   11","    0","    7","    3","   27","    9","    5","    5","    0","    3","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0","   40","   10","   27","    0","    0","    0","    0","    0","    0","    0","   23","    9","   22","    7","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    2","    0","   78","   12","    3","    0","  408","    0","    4","    0","    0","    0"," 1080","  800","  460","  627","    0","    0","    0","    1","   53","    4","    1","   63","    2","    0","    0","   39","    0","    4","    6","    0","    0","   38","   12","    0","    0","    0","    1","    0"
