"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","HippophaÃ«","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"  6.888889",NA,NA,"  4.000000"," 12.000000","  9.000000","  0.000000","  8.000000","  4.000000","  2.000000","  5.000000","  0.000000"," 11.000000","  4.000000","  0.000000","  8.000000","  4.000000"," 10.000000"," 64.000000"," 42.000000","  0.000000","  0.000000","  8.000000"," 35.000000","  4.000000","  0.000000","  6.000000","  6.000000","  4.000000"," 12.000000","  2.000000","  0.000000"," 32.000000"," 29.000000"," 28.000000","142.000000"," 15.000000"," 10.000000","  1.000000","  8.000000","123.000000"," 12.000000","  4.000000"," 15.000000"," 15.000000"," 42.000000"," 44.000000","  9.000000","  8.000000","  4.000000","  8.000000","  1.000000","  0.000000","  0.000000","  0.000000","  0.000000","  8.000000","  3.000000","  0.000000","  0.000000"," 15.000000"," 12.000000","  8.000000","  0.000000","  0.000000","  0.000000"
" 20.66667",NA,NA," 10.00000","  3.00000","  0.00000","  5.00000","  9.00000","  0.00000","  8.00000"," 23.00000","  0.00000"," 15.00000"," 11.00000","  0.00000","  9.00000","  0.00000"," 16.00000"," 65.00000"," 18.00000","  1.00000","  3.00000"," 15.00000","  5.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 31.00000"," 15.00000"," 25.00000","158.00000"," 32.00000"," 12.00000","  0.00000"," 11.00000"," 45.00000","  8.00000","  6.00000","  0.00000","  0.00000"," 67.00000"," 25.00000"," 15.00000","  3.00000","  1.00000","  6.00000","  0.00000","  3.00000","  2.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"
" 41.33333",NA,NA," 16.00000","  3.00000","  0.00000","  5.00000","  9.00000","  0.00000","  8.00000"," 23.00000","  0.00000"," 15.00000"," 11.00000","  0.00000","  9.00000","  0.00000"," 16.00000"," 65.00000"," 18.00000","  1.00000","  3.00000"," 15.00000","  5.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 16.00000"," 15.00000"," 20.00000","158.00000"," 29.00000"," 12.00000","  0.00000"," 11.00000"," 45.00000","  8.00000","  6.00000","  0.00000","  0.00000"," 67.00000"," 25.00000"," 15.00000","  3.00000","  1.00000","  6.00000","  0.00000","  3.00000","  2.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"
" 62",NA,NA," 22","  0","  4","  1","  5","  1"," 12"," 22","  0","  6","  8","  0"," 12","  4"," 12"," 65"," 12","  1","  0","  6"," 18","  2","  0"," 12","  2","  0","  0","  2","  0","  6","  2"," 10","117","  9","  9","  2","  3"," 31"," 10","  4","  7"," 10"," 53","  9","  8","  2","  0","  4","  2","  2","  6","  0","  0","  2","  1","  0","  0","  0","  5","  0","  0","  0","  0"
"82.66666",NA,NA,"26.00000"," 0.00000"," 0.00000","43.00000"," 6.00000"," 0.00000","23.00000","59.00000"," 0.00000"," 6.00000"," 8.00000"," 5.00000"," 5.00000"," 0.00000","15.00000","38.00000"," 2.00000"," 7.00000","14.00000"," 5.00000"," 3.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 8.00000"," 2.00000"," 8.00000","92.00000","12.00000"," 6.00000"," 0.00000"," 6.00000","16.00000"," 5.00000"," 4.00000"," 0.00000"," 0.00000","45.00000"," 2.00000"," 7.00000"," 1.00000"," 0.00000"," 5.00000"," 0.00000"," 6.00000"," 8.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 5.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 6.00000"," 3.00000"
"96.44444",NA,NA,"32.00000"," 1.00000"," 0.00000","76.00000"," 3.00000"," 0.00000","35.00000","85.00000"," 0.00000"," 3.00000"," 6.00000"," 8.00000"," 4.00000"," 0.00000","17.00000","32.00000"," 0.00000","10.00000","35.00000"," 3.00000"," 2.00000"," 0.00000"," 0.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 5.00000"," 1.00000"," 4.00000","80.00000"," 5.00000"," 4.00000"," 0.00000"," 3.00000","12.00000"," 2.00000"," 2.00000"," 0.00000"," 0.00000","32.00000"," 0.00000"," 4.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000","12.00000","13.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 8.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","10.00000"," 6.00000"
"117.1111",NA,NA," 37.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 15.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
"134.3333",NA,NA," 41.0000","  0.0000","  0.0000"," 32.0000","  3.0000","  0.0000"," 42.0000"," 66.0000","  0.0000","  3.0000"," 14.0000","  3.0000"," 21.0000","  0.0000"," 26.0000"," 42.0000","  0.0000"," 21.0000","  5.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000"," 15.0000","110.0000"," 22.0000"," 12.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  7.0000","  0.0000","  0.0000"," 72.0000","  0.0000"," 14.0000","  0.0000","  0.0000","  3.0000","  0.0000"," 15.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  5.0000"
"148.1111",NA,NA," 46.0000","  0.0000","  0.0000"," 42.0000","  5.0000","  0.0000"," 22.0000"," 55.0000","  0.0000","  5.0000","  7.0000","  7.0000","  5.0000","  0.0000"," 15.0000"," 36.0000","  2.0000","  8.0000"," 15.0000","  4.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  7.0000","  2.0000","  8.0000"," 85.0000"," 11.0000","  6.0000","  0.0000","  5.0000"," 15.0000","  7.0000","  5.0000","  0.0000","  0.0000"," 41.0000","  2.0000","  6.0000","  1.0000","  0.0000","  4.0000","  0.0000","  7.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  7.0000","  3.0000"
"165.3333",NA,NA," 52.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 14.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
"186",NA,NA," 58","  1","  0"," 53","  3","  0"," 25"," 67","  0","  3","  6","  8","  4","  0"," 17"," 32","  0"," 10"," 25","  3","  2","  0","  0","  1","  0","  0","  0","  0","  0","  5","  1","  4"," 80","  5","  4","  0","  3"," 12","  2","  2","  0","  0"," 32","  0","  4","  0","  0","  2","  0"," 12"," 13","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"," 10","  6"
"206.6667",NA,NA," 64.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 14.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
"227.3333",NA,NA," 70.0000","  1.0000","  0.0000"," 29.0000","  6.0000","  0.0000"," 17.0000"," 41.0000","  0.0000","  9.0000","  9.0000","  4.0000"," 11.0000","  0.0000"," 12.0000"," 42.0000","  5.0000","  4.0000","  8.0000","  7.0000","  4.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 10.0000","  4.0000"," 11.0000"," 98.0000"," 15.0000","  8.0000","  0.0000","  7.0000"," 29.0000","  8.0000","  8.0000","  0.0000","  0.0000"," 48.0000"," 10.0000","  8.0000","  1.0000","  1.0000","  6.0000","  0.0000","  5.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  4.0000","  0.0000"
"248",NA,NA," 76","  0","  0"," 43","  6","  0"," 23"," 59","  0","  6","  8","  5","  5","  0"," 15"," 38","  2","  7"," 15","  5","  3","  0","  0","  2","  0","  0","  0","  0","  0","  8","  2","  8"," 92"," 12","  6","  0","  6"," 16","  5","  4","  0","  0"," 45","  2","  7","  1","  0","  5","  0","  6","  8","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  6","  3"
"268.6667",NA,NA," 82.0000","  0.0000","  0.0000"," 35.0000","  1.0000","  0.0000"," 22.0000"," 60.0000","  0.0000","  5.0000","  7.0000","  4.0000","  7.0000","  0.0000"," 24.0000"," 50.0000","  0.0000"," 16.0000"," 14.0000","  3.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000"," 11.0000","110.0000"," 13.0000","  4.0000","  0.0000","  1.0000"," 19.0000","  1.0000","  4.0000","  0.0000","  2.0000"," 58.0000","  0.0000","  8.0000","  0.0000","  0.0000","  2.0000","  0.0000"," 13.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  4.0000"
"289.3333",NA,NA," 88.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 14.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
"310",NA,NA," 94","  1","  0"," 53","  3","  0"," 25"," 67","  0","  3","  6","  8","  4","  0"," 17"," 32","  0"," 10"," 19","  3","  2","  0","  0","  1","  0","  0","  0","  0","  0","  5","  1","  4"," 80","  5","  4","  0","  3"," 12","  2","  2","  0","  0"," 32","  0","  4","  0","  0","  2","  0"," 12"," 13","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"," 10","  6"
"375",NA,NA," 99","  0","  0"," 42","  5","  0"," 22"," 55","  0","  5","  7","  7","  5","  0"," 15"," 36","  2","  8"," 15","  4","  3","  0","  0","  1","  0","  0","  0","  0","  0","  7","  2","  8"," 85"," 11","  6","  0","  5"," 15","  7","  5","  0","  0"," 41","  2","  6","  1","  0","  4","  0","  7","  8","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  7","  3"
"453",NA,NA,"105","  3","  0","  5","  9","  0","  8"," 23","  0"," 15"," 11","  0","  9","  0"," 16"," 65"," 18","  1","  3"," 15","  5","  0","  0","  3","  0","  0","  0","  0","  0"," 16"," 15"," 20","158"," 29"," 12","  0"," 11"," 45","  8","  6","  0","  0"," 67"," 25"," 15","  3","  1","  6","  0","  3","  2","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0"
"531",NA,NA,"111","  1","  0"," 12","  7","  0"," 12"," 35","  0"," 11"," 10","  1","  8","  0"," 14"," 56"," 16","  2","  4","  9","  4","  0","  0","  3","  0","  0","  0","  0","  0"," 15"," 10"," 18","128"," 22","  9","  0"," 10"," 29","  8","  6","  0","  0"," 59"," 20"," 11","  2","  1","  6","  0","  3","  3","  0","  0","  1","  0","  2","  0","  1","  0","  1","  0","  1","  0"
"635",NA,NA,"117","  1","  0"," 29","  6","  0"," 17"," 41","  0","  9","  9","  4"," 11","  0"," 12"," 42","  5","  4","  8","  7","  3","  0","  0","  1","  0","  0","  0","  0","  0"," 10","  4"," 11"," 98"," 15","  8","  0","  7"," 29","  2","  8","  0","  0"," 48"," 10","  8","  1","  1","  6","  0","  5","  4","  0","  0","  0","  0","  2","  0","  1","  0","  1","  0","  4","  0"
"687",NA,NA,"123","  1","  0"," 12","  7","  0"," 12"," 35","  0"," 11"," 10","  1","  8","  0"," 14"," 56"," 16","  2","  4","  9","  4","  0","  0","  3","  0","  0","  0","  0","  0"," 15"," 10"," 18","128"," 22","  9","  0"," 10"," 29","  8","  6","  0","  0"," 59"," 20"," 11","  2","  1","  6","  0","  3","  3","  0","  0","  1","  0","  2","  0","  1","  0","  1","  1","  1","  0"
"765",NA,NA,"129","  0","  1","  8","  5","  0"," 11"," 11","  0"," 15","  6","  2","  8","  0"," 16"," 72"," 10","  8","  0"," 19","  6","  0","  0","  2","  0","  0","  0","  1","  0"," 15","  0"," 18","135"," 26","  5","  0","  1"," 38","  1","  0","  0","  1","100"," 12"," 16","  2","  0","  1","  0","  9","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  0","  0"
"774.5745",NA,NA,"135.0000","  0.0000","  1.0000"," 10.0000","  6.0000","  1.0000"," 14.0000"," 30.0000","  0.0000"," 12.0000","  8.0000","  1.0000","  8.0000","  0.0000"," 15.0000"," 53.0000"," 15.0000","  0.0000","  4.0000","  6.0000"," 10.0000","  1.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 16.0000","  6.0000"," 20.0000","116.0000"," 21.0000"," 10.0000","  0.0000","  6.0000"," 29.0000","  8.0000","  4.0000","  1.0000","  2.0000"," 60.0000","  9.0000"," 16.0000","  2.0000","  0.0000","  5.0000","  0.0000","  2.0000","  2.0000","  0.0000","  0.0000","  0.0000","  2.0000","  2.0000","  0.0000","  0.0000","  0.0000","  5.0000"," 22.0000","  2.0000","  0.0000"
"784.1489",NA,NA,"141.0000","  0.0000","  1.0000"," 12.0000","  5.0000","  1.0000"," 15.0000"," 32.0000","  0.0000"," 11.0000","  6.0000","  1.0000","  6.0000","  0.0000"," 14.0000"," 52.0000"," 11.0000","  2.0000","  4.0000","  5.0000","  8.0000","  1.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 15.0000","  2.0000"," 19.0000","115.0000"," 20.0000","  8.0000","  0.0000","  5.0000"," 22.0000","  6.0000","  2.0000","  0.0000","  1.0000"," 58.0000","  8.0000"," 15.0000","  1.0000","  0.0000","  3.0000","  0.0000","  4.0000","  3.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  4.0000"," 25.0000","  2.0000","  1.0000"
"793.7234",NA,NA,"147.0000","  1.0000","  5.0000"," 10.0000","  4.0000","  3.0000"," 10.0000"," 21.0000","  0.0000","  8.0000"," 17.0000","  0.0000"," 27.0000","  1.0000"," 21.0000"," 72.0000"," 16.0000","  7.0000","  0.0000"," 23.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 15.0000","  4.0000"," 20.0000","202.0000"," 27.0000"," 16.0000","  0.0000","  5.0000"," 32.0000","  5.0000","  7.0000","  1.0000","  4.0000","100.0000"," 19.0000"," 19.0000","  1.0000","  0.0000","  8.0000","  0.0000","  7.0000","  7.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 29.0000","  0.0000","  0.0000"
"803.2979",NA,NA,"153.0000","  3.0000","  6.0000","  2.0000","  6.0000","  1.0000","  8.0000","  8.0000","  1.0000"," 10.0000","  7.0000","  0.0000"," 11.0000","  1.0000"," 13.0000"," 70.0000"," 23.0000","  3.0000","  0.0000"," 12.0000"," 28.0000","  1.0000","  0.0000","  5.0000","  7.0000","  0.0000","  1.0000","  1.0000","  0.0000","  8.0000"," 12.0000"," 11.0000","110.0000"," 15.0000","  5.0000","  1.0000","  3.0000"," 75.0000","  9.0000","  5.0000","  1.0000"," 15.0000"," 52.0000"," 22.0000","  8.0000","  6.0000","  1.0000","  6.0000","  1.0000","  2.0000","  3.0000","  0.0000","  2.0000","  1.0000","  1.0000","  0.0000","  1.0000","  8.0000","  4.0000","  4.0000"," 33.0000","  0.0000","  0.0000"
"812.8723",NA,NA,"159.0000","  1.0000","  5.0000"," 10.0000","  4.0000","  3.0000"," 10.0000"," 21.0000","  0.0000","  8.0000"," 17.0000","  0.0000"," 27.0000","  1.0000"," 21.0000"," 72.0000"," 16.0000","  7.0000","  0.0000"," 23.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 15.0000","  4.0000"," 20.0000","202.0000"," 27.0000"," 16.0000","  0.0000","  5.0000"," 32.0000","  5.0000","  7.0000","  1.0000","  4.0000","100.0000"," 19.0000"," 19.0000","  1.0000","  0.0000","  8.0000","  0.0000","  7.0000","  7.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 29.0000","  0.0000","  0.0000"
"822.4468",NA,NA,"165.0000","  0.0000","  1.0000","  8.0000","  5.0000","  0.0000"," 11.0000"," 11.0000","  0.0000"," 15.0000","  6.0000","  2.0000","  8.0000","  0.0000"," 16.0000"," 72.0000"," 10.0000","  8.0000","  0.0000"," 19.0000","  6.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 15.0000","  0.0000"," 18.0000","135.0000"," 26.0000","  5.0000","  0.0000","  1.0000"," 38.0000","  1.0000","  0.0000","  0.0000","  1.0000","100.0000"," 12.0000"," 16.0000","  2.0000","  0.0000","  1.0000","  0.0000","  9.0000","  9.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  0.0000","  0.0000"," 32.0000","  0.0000","  0.0000"
