Depth,Giesecke et al. 2014 (MADCAP),FossilvaRadiocarbon years BP,EPDRadiocarbon years BP,Abies,Acanthus,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anagallis,Anemone,Apiaceae,Apium-type,Arbutus,Armeria/Limonium,Artemisia,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus,Aspleniumspore,Asteroideae,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bunium-type,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Calystegia,Campanulaceae,Capsella-type,Carduus-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Cotinus coggygria,Crocus,Cyclamen,Cyperaceae,Datisca,Digitalis,Dryopteris-typespore,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Euphorbiaceae,Fabaceae,Fagopyrum,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana,Gentianaceae,Geraniaceae,Geranium,Gossypium,Hedera,Helianthemum,Heliotropium-type,Humulus/Cannabis,Hymenophyllumspore,Hyoscyamus,Hypericum perforatum-type,Hystrix,IsoÃ«tesspore,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Linum,Lotus-type,Lycopodiumspore,Lysimachia,Lythrum,Malva,Malvaceae,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis annua,Mesembryanthemum,Morus,Myriophyllum spicatum/M. verticillatum,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Orchidaceae,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Phillyrea,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae,Prunus-type,Pteridiumspore,Pterisspore,Quercus cerris-type,Quercus coccifera-type,Radiola,Ranunculaceae,Ranunculus acris-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Ranunculus undiff.,Rhamnaceae,Rhamnus,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Salix,Salvia,Sambucus nigra-type,Scabiosa,Scilla-type,Scrophularia/Verbascum,Scrophulariaceae,Senecio-type,Sideritis,Solanum dulcamara,Sparganium-type,Stachys-type,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymelaeaceae,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Valeriana,Valerianella,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium
45,745/625/528,--/648/--,--/1176/--,,,,,,,66,,,3,1,,,1,,,,,10,,,,1,,,,,,,,,,4,,,,1,9,87,,,,,,,,,,,22,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,9,,,,,,,,,,6,1,,3,1,,,,,,16,,7,1,,,,,,,,,,,,1,,,,,,,,,,,8,,,,,,,,,,,,,,12,,,,,,,1,
60,934/827/734,--/864/--,--/1455/--,,,,,,1,15,,,6,,1,,,,1,,,28,,,,2,,,,,,,,,,,1,,6,,11,102,,,5,,,,2,,,,24,,,13,,,,,3,,,,,1,2,,,,2,,,,,,,1,,1,,,,,15,,1,,,,,,,,,,,3,,,,,,,,,1,,6,,,4,1,,,,7,,,2,,,,,,,31,,,15,3,,,,,,64,,35,9,,,,,,3,,,,,,,,,,,,,,3,,,1,,,,,,,,,,1,,,,28,1,,,,,,,
80,1194/1103/1015,--/1152/--,--/1801/--,3,,,1,,,286,,,9,6,,,1,,,1,,12,1,,1,6,,,,,,,,,,5,,,3,2,11,93,,,,,,,1,,,,55,,,2,,,,,6,1,,1,,,,,,,,,,,,,1,,,,,,,,7,,1,1,,,1,,,,1,,1,,,,,,,,,,3,,,1,,1,,,,,41,1,46,,,3,,,,,33,2,,21,,,,,,,6,,53,12,,,,,,,,,,1,,,,,,,,,,1,,,72,,,,,,,,,,,2,,,62,,,,,,,,
100,1483/1390/1299,--/1437/--,--/2124/--,1,,,,,2,195,,,15,,,,4,,,,,8,,,2,2,,,,,,,,,,1,,,,,6,66,,,,,,,1,,,,33,,,2,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,,31,,28,,,,,,,1,21,2,,14,,,,,,,13,,20,4,,,,,,,,,,,,,1,,,,,1,,6,,,23,,,,,,,,,,,,,,18,,1,,,,,2,
120,1789/1690/1587,--/1708/--,--/2432/--,1,,,,,1,267,,,11,2,,,5,,,,,11,,,1,3,,,,,,,,,3,,,,,,2,59,,,,,1,,,,,,42,,,2,,,,,2,,,2,,,,,1,,,,,,,3,,,,,,,,,4,,1,,,1,,,,,,,,,,,,,,,,,3,,,,,3,,,,,32,,32,,,3,,,,,30,2,,13,,,,,,,6,,24,13,,,,1,,,,,,,2,1,,,,,,,,7,,,51,,3,,,,,,,,,,,,64,,,,,,,,
140,2113/2001/1889,--/1978/--,--/2726/--,,,,,,,154,,,,9,,,4,,,,,7,,,,5,,,,,,,,,,,,,7,,2,15,,1,,,4,,1,,,,33,,,4,,,,,4,,,2,,,,1,,1,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,1,,1,4,,2,,,,,,1,,35,,12,,,,,6,,,19,1,,10,1,,,1,,,1,,38,17,,,2,,,,,,,,,2,,,,,,,,5,,,38,1,,,,,,,,,1,,,1,26,,,,,,,,
160,2449/2325/2199,--/2248/--,--/3009/--,5,,,,,3,177,,,2,6,,,3,,,,,12,,,,2,,,,,,,,,,,,,3,1,2,51,,,,,2,,1,,,,53,,,3,,,,,8,,1,,,,,,1,,,,,,,,,,,,,,,,4,,,2,,,3,,,,1,,,3,,,1,,,,,,3,,,,,1,,,,,41,,28,5,,,,,,,20,2,,13,1,,,,,,15,,54,8,,,,,,,,,,,,,,,,,,,,9,,,94,,,,,,,,,1,,,,,23,,,,,,,1,
180,2801/2661/2525,--/2518/--,--/3284/--,,,,,,1,105,,,9,9,,,10,,,,,10,,,1,2,,,,,,,,,,3,,,4,2,15,46,,,,,,,,,,,45,,,10,1,,,,4,,,2,,,,,,,,,,,,1,,,,,1,,,,1,,2,,,,,,,,,,,6,,,,,,,,,2,,1,,1,5,,,,,17,1,17,1,,,,2,,,25,,,12,,,,,,,33,,41,19,,,,3,,,,,,,,,,,,,,,,7,,,43,,,,,2,,,1,1,,,,1,46,,,,,1,,,
200,3165/3007/2867,--/2789/--,--/3550/--,1,,,,,2,197,,,22,54,,,,22,,,,2,,,,2,,1,,,,1,2,,2,4,,,,1,,9,1,27,1,,1,,,,,,227,,3,1,,,,,5,,,,,,,2,,1,,,,,,,,,,,,,1,,2,,,,1,1,1,,,,,,,5,,,2,,,,2,1,4,3,1,,,4,,2,,,21,,,2,1,,3,,,,159,5,1,10,,,,,,,2,,39,11,,,,1,6,,,,,,3,,1,,,,,,,34,,1,178,1,,,1,,,,,1,,2,1,1,29,,,,,2,,2,5
210,3351/3184/3041,--/2928/--,--/3681/--,10,,,,,1,25,,,1,,,1,5,,,,,3,1,,,1,,,,,,,,1,,,,,,,2,3,,,,,,,,,,,8,,,51,,,,,2,,,,,,,,,,,,,,,,2,,,,1,,,,3,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,3,,,,,22,,,,,,,,,,20,4,,3,1,,,1,,,13,,17,2,,1,,,1,,,,,,,,,,,1,,1,,2,,,39,,,,,1,,,,,,,,,6,,,,,,,,
240,3926/3728/3560,--/3383/--,--/4064/--,5,,,,,4,20,,1,4,14,,,3,,,2,,2,1,,,4,,,,,,,,,1,6,,,3,,3,12,,3,,,,,3,,,,66,,,,,,,,5,,,,,9,,1,,,1,,1,,,,,,,,,,,,3,,3,,,1,1,,,1,,1,,3,,,,,,,1,,5,,1,,,13,,3,,,23,,,9,,1,4,,1,,88,6,,11,,,,4,,,6,,110,30,,,,,,,,,,,1,6,1,,,,,,,7,,1,74,,,,,3,2,,,7,,2,,3,12,,,,,,,1,
255,4214/4003/3811,--/3610/--,--/4251/--,3,,,,,1,11,,,3,7,,1,2,,,1,,,1,,,4,,,,,,,,,1,5,1,,2,,,19,,2,,,2,,5,,,,41,,,,1,,,,5,,,,,6,,,,2,,,,,,,,,,,,,,,3,,,,,2,2,,,,6,,,2,1,,,,,,,,9,,1,,,8,,1,,,21,1,,4,,2,1,1,,,85,4,,7,,,1,2,,,5,1,83,20,,,1,1,,,,,1,,2,3,1,,1,1,,,,17,,,81,1,1,,,,,,,1,,3,,,13,,,,,,,1,
280,4681/4455/4217,--/3990/--,--/4556/--,9,,,,1,3,13,,,3,14,,,2,,,1,,3,,,,4,,,,,,,,,1,2,1,,,,1,7,,5,1,,,,3,1,,,37,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,16,,,,,1,1,,,,,,,1,,,1,,,,,,13,,4,,,15,,,,,17,,,1,,,1,,,,86,4,,4,1,2,1,1,,,5,,141,27,,,,,,,,,,,1,,2,,,,,,,5,,,72,,7,,,,1,,,2,,,,2,4,,,,,,,,
290,4862/4632/4375,--/4141/--,--/4675/--,4,,,,,2,11,,,3,37,,,,,,,,7,,,,,1,,,,,,,,,1,,,2,2,1,9,,5,,,,,3,,1,,46,,,2,,,,,2,,,1,,3,,1,,,,1,,,,,1,,,,,,2,,23,,,,,1,,,,,,,,,,,3,,,,,,12,,1,,,21,1,2,1,,20,,,4,,,,3,1,1,48,2,,1,1,,,1,,,3,,140,39,,,,,,,,,,,3,,,,,,,,,6,,,47,,10,,,,,,,,,,,4,7,,,,,,,1,
300,5040/4806/4529,--/4293/--,--/4794/--,9,,1,,,2,6,,,,16,,,1,,,1,,1,,,,2,,,,,,,,,,2,,,,,,10,,2,,,,,,,,,18,,,4,,,,,3,,,,,1,,,,2,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,6,,,,,11,,1,,,17,,,6,,,,,,,29,,,,,,,2,,,2,,71,23,,,,,,,,,1,,,2,,,,,,,,5,,,10,,4,,,,,,,,1,,,1,7,,,,,,1,,
320,5384/5141/4824,--/4596/--,--/5029/--,4,,,,,3,24,,,8,47,,1,2,,1,1,,10,1,,,,,,,,1,,,,,1,3,,2,,3,22,,1,,1,,,8,1,,,43,,,13,,,,1,7,,,2,,2,,1,5,1,2,,,,1,,,,,1,2,,1,,26,,,1,,1,,,1,1,,,,2,,,4,,,,,,12,,1,,,28,,,,,37,2,,7,,,1,,1,,100,4,,,2,,1,4,,,13,,230,54,,,,,,,,,,,1,5,,,,,,,,3,,,11,1,20,2,,,,,,2,3,,,4,8,,,,,,,11,
340,5706/5454/5114,--/4900/--,--/5260/--,6,,,,,,16,,,14,30,,3,1,,,7,,4,,,,1,,,,,,,,,,,,,,6,1,7,,1,,,,,9,,,1,27,,,12,,,,,5,,,3,,4,,,,2,,,1,,,,,,,,3,,,1,12,,1,,,1,,,,,,,,1,,,2,,,,,,8,,1,,,25,,,,,25,2,3,4,,,,,,1,27,3,,2,1,,,1,,,2,,149,23,1,,,,,1,,,,,1,3,,,,,,,3,2,,2,5,,10,,,1,,,,,1,,,1,17,,,,,,,3,
360,5999/5741/5380,--/5167/--,--/5488/--,3,,,,,6,10,,,1,11,,,4,,,1,,2,,,,,,,1,,,,,,,,1,,3,,,9,,39,,,,,6,,,,198,,,2,,1,,,3,,,3,1,1,,,,,,,,,,,,,,,1,,,,22,,,,,,,,,1,49,,,,,,1,,,,,,,,1,,,9,,,,,24,,2,8,,,,1,,,129,3,,,,,,1,,,1,,133,14,,,,,,,,,,,,,,,,,,,,21,,,78,2,,,,,,,,2,1,,6,3,21,,,,,,,2,
380,6269/5996/5620,--/5267/--,--/5712/--,21,,,,,1,21,,,6,34,,1,3,,,9,,5,1,,,2,,,,,,,,,,2,2,,1,,,14,,,,,,1,11,,,,28,1,,13,,,,,,1,,1,,,1,2,2,1,2,,,1,,,1,1,,,3,,,,9,,,1,,4,3,,,,,,,6,,1,,,,2,,,4,,2,,,29,,1,,,50,2,,16,,,,1,,,86,7,,3,3,,,7,,,6,,117,32,,,,,,,,,,,,3,,1,3,,,,,1,,,7,,9,1,,1,,,,1,1,1,,3,30,,,,,,,3,
400,6506/6223/5836,--/5367/--,--/5933/--,16,,,,,5,19,,,11,18,,,,,,3,,4,1,,,2,,,,,,,,,1,1,8,,1,1,3,16,,,,,1,,6,1,,,35,,,15,,,,,4,1,,,,4,,1,,2,,,,,,,,1,,,2,,,,27,,,,,3,1,,,,,,1,1,,,1,,,2,,,8,1,2,,1,42,,3,,,91,2,,6,,,,5,,2,87,4,,2,1,,,12,,,9,,257,34,,,,1,,,,,1,,2,4,,,,,,,,6,,,9,,2,,,,,,,1,2,,,2,16,1,,,,,,5,
420,6707/6422/6029,--/5466/--,--/6152/--,4,,,,,7,14,1,,4,17,,,1,,5,5,,,1,,,,,,,1,,,,,1,1,2,1,4,3,2,2,,,,,,,12,,,,18,,,4,,,1,,9,1,,1,,3,,,2,2,1,,,,,,,,,,3,,,,14,,,,,,,,,,,,,1,,,3,,,,,,13,,1,,,34,,2,,,35,2,,3,,,,2,,,50,7,,,2,,,2,,,10,,221,36,,,,,,,,,,,1,2,,,,,,,,5,,,9,,1,1,1,,1,,,1,3,,,5,10,,,1,,,,8,
440,6888/6597/6213,--/5566/--,--/6368/--,4,,1,,,3,17,,1,3,13,,1,3,,,5,,3,1,,,,4,,,,,,,,,2,4,,2,,1,13,,1,,,,,6,,,,19,,1,11,,,,,5,1,,,,5,,1,,3,1,,,,,,,,,,3,,,,18,,1,,,1,1,,,1,,,,3,,,3,,,,,,13,,2,,,26,,2,,1,23,1,,8,,1,,,,,51,8,,3,1,,,5,,1,6,,138,38,,,,,,,,1,1,,3,2,,,,1,,,,2,,,12,,,,1,,1,,,,,,,4,14,,,,,,,1,
460,7031/6750/6368,--/5666/--,--/6581/--,7,,,,,5,17,,,7,25,,,1,,,2,,4,,,,,1,,,,,,,,,1,3,,1,3,4,21,,,,,,,6,1,1,,34,,,6,,,,,4,,,2,,1,,,,,1,,,,,,,2,,,3,,,,16,,1,1,,4,,,,,,,,1,1,,1,,,1,,,4,,3,,,31,,,1,,45,1,2,4,,1,,2,,,89,12,,5,,,1,6,1,,5,,180,39,,,,,,,,,,,,3,1,,,,,,,2,,,9,,2,,,,,,,,,,,,7,,,,,,,6,
480,7145/6882/6510,--/5765/--,--/6792/--,7,,,,,9,36,,1,15,36,,,3,,,3,,2,1,,1,1,,,,,,,,,1,2,2,,5,12,9,12,,,3,,1,,7,,,,24,,,7,,,1,,1,,,2,,,,,,1,,,1,,,,1,,,,,,,,13,,1,,,2,,,,,,,,3,,,3,,,3,,,7,,3,,,35,,1,,,31,,,4,,,1,8,,2,83,4,,1,2,,,7,,,10,,181,44,,,,,,,1,,1,,1,4,,,,,,1,,3,,,20,,,,,,,,,,3,,,5,21,,,,1,,,7,
500,7242/6997/6651,--/5865/--,--/7000/--,17,,1,,,2,26,,,3,14,,,2,,,5,,2,1,,,3,,,,,,,,,1,1,2,,1,10,,7,,,,,1,,4,,,,22,,,4,,,,,,,,1,,1,,,,1,1,,1,,,,1,,,,2,,,,3,,,,,,,,,,,,,,,,2,,,,,,4,,4,,,22,,,,,76,1,,4,,,2,6,,,41,4,,2,1,,,1,,,10,,163,38,,,,,,,,,,,,3,,,,,,2,,3,,,14,,,,,,,,,,2,,,2,15,,,,,,,1,
520,7328/7097/6785,--/5965/--,--/7207/--,21,,1,,,1,35,,1,3,9,,,,,,3,,,,,,,4,1,,,,,,,,,,,1,,2,26,,,,,1,,9,,,,24,,,9,,,1,,1,,,,,2,1,,,,,,,,,,,1,,1,,,1,,13,,,,,,2,,,1,,,1,3,,,5,,,4,,,3,,3,,,19,,2,,,92,1,1,4,,,,,,,62,7,,2,2,,1,5,,,4,,134,24,,,,,,,,,,,,2,,,,,2,,,4,,1,15,,1,,,,,,,,,,,3,19,,,,,,,3,
540,7396/7184/6897,--/6064/--,--/7411/--,10,,1,,,1,26,,,4,12,,1,,,,1,,3,,1,,1,,,,,,,,,1,1,1,,2,1,2,19,,3,,,1,,9,,1,,37,,,11,,,,,1,1,,,,1,,,1,,,,,,,,,,,,4,,,,8,,,,,2,,,,1,,,,1,,,2,,,,,,,1,2,,,24,,1,,,98,,1,3,,,1,,,,57,8,,1,2,,,,,,10,,135,12,,,,,,,,,,,,,1,,,,,1,,4,,,32,,,1,,,,,,,3,,,5,28,,,,,,,,
560,7457/7260/7009,--/6164/--,--/7613/--,5,,1,,,,5,,,4,,,,2,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,20,,,,1,,,27,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,27,,1,,,15,,,1,,,,,,,9,,,1,2,,,,,,2,,33,2,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,2,5,,,,,,,,
580,7506/7329/7110,--/6263/--,--/7814/--,1,1,,,,2,26,,,5,27,,,1,,,,,4,,,,1,,,,,,,,,,1,,,3,1,1,9,,,,,,,6,,,,6,,,10,,,,,2,1,,1,,1,,1,,1,1,,,,,,,,,,4,,,,11,,1,,,,,,,,,,,,,,5,,1,,,,5,,2,,,22,,2,,,2,2,,3,,,,,,,43,1,,3,1,,,3,,,3,,98,15,,,,,,,,,,,3,,,,,,,1,,3,,,13,,,,,,,,,,1,1,,1,14,,,,,,,,
605,7561/7406/7222,--/6388/--,--/8062/--,13,,1,,,1,20,,,7,8,,,1,,,2,,7,,,,,,,,,,,,,,2,1,,1,1,1,32,,11,,,,,13,,2,,30,,,8,,,,,7,,,3,,3,,,1,,,,,,1,,,1,,,1,,,,11,,,,,3,1,,,,,,1,1,,,,1,,,,,,,1,,,23,,,,,66,1,,3,,,,,,,62,29,,,3,,,2,,,2,,187,15,,,,1,,,,,,,2,1,1,,,,,,,10,,,34,,,,1,,,,,,1,,,2,21,,,,,,,2,
620,7602/7449/7281,--/6463/--,--/8210/--,5,,2,,,1,8,,,1,2,,,,,1,,,1,1,,,,,,1,,,,,,1,,1,,,,1,12,1,2,,,,,12,,,,5,,,4,,,,,1,,,,,1,,,,2,,,,,1,,1,1,,1,,,,,8,,,,,1,,,,,,,,3,,,,,,,,,,,2,,,9,,1,,,34,1,,4,,,,,,,29,1,,1,,,,,,,2,,119,15,,,,,,,,,,,1,,1,,,,,1,,3,,,26,,,,,,1,,,,2,,,3,2,,,,,,,3,
641,7675/7509/7327,--/6567/--,--/8415/--,1,,,,,1,19,,,7,10,,,,,,1,,5,,,,,2,,,,,,,,,1,,,2,,,13,,,,,,,14,,,,14,,,17,1,,1,,4,,,2,,,,,,1,,,,,,,,1,,,3,,,,19,,,,,,,,,,,,,3,,,4,,,,,,5,,,,,16,,1,,,6,1,2,,,,,1,,,78,4,,5,,,,1,,,1,,140,23,,,,2,,,,,,,1,,,,,,,1,,10,,,14,,2,,,,,,,,2,1,,7,21,,,,,,,1,2
660,7753/7564/7352,--/6662/--,--/8599/--,17,,,,,1,11,,,8,11,,,,1,1,,,2,1,,,2,,,1,,,,,,1,,3,,1,,,24,,,,,1,,26,,,,58,,,10,,,1,,,,,,,2,,,5,2,,,,,,,,,,,2,,,,14,,4,,,1,1,,,,,,,,,,,,,,,,,,1,,,13,,,1,,97,1,6,2,,,1,,,,445,11,,8,1,,,2,,,7,,181,28,,,,,,,,,,,1,4,1,,,,,,,9,,,14,,,,,,1,1,,2,2,,,7,33,,,,,,,3,
680,7853/7621/7373,--/6762/--,--/8791/--,3,,1,,,5,25,,1,12,31,,,10,,2,,,6,,,,,1,,,,,,,,,1,1,,1,16,1,19,,,,,,,61,,,,18,,,15,,,,5,,3,,4,,1,,,6,8,1,,,,,,,,1,1,,,3,,2,,,,,1,,1,,,,,,3,,,4,,,1,,,,,1,,,11,,5,,,14,14,1,4,,,,,,,1493,17,,53,2,,,12,,,7,,97,22,,1,,,,,,,,1,1,9,,,,1,,1,,5,1,1,5,,,1,,,,,,,8,,,8,32,,,,,,,4,
700,7960/7678/7388,--/6861/--,--/8982/--,13,,,,,5,50,,,10,3,,,3,,,1,1,7,,,,1,,1,1,,,1,,,,,1,,3,1,,68,,3,,,,,43,,,,94,,,8,,1,,,1,,,2,,,,1,3,2,2,,,,,,,,,2,5,,1,,8,,,,,1,,,,,,,,4,,,13,,,,,,,,3,,,17,,6,,1,84,14,,5,,2,,,1,,654,22,,16,1,,1,5,2,,10,,143,11,,2,,,2,,,,,,1,2,1,,,,,,1,4,,,15,,1,,1,,,,,,4,,,4,22,1,,,,1,,3,
720,8072/7735/7402,--/6961/--,--/9171/--,6,,,,,1,7,,,5,11,,,,,,,,,1,,,2,,1,,,,,,,,2,,,,1,1,18,1,4,1,,,,11,,,,36,,,9,,,,,,2,,1,,,,,5,2,,,,,,,2,1,,1,4,,,,5,,3,,,,,,,,,,,,,,,,,,,,1,,1,,1,12,,3,,,28,1,,4,,,,,,,370,11,,4,,,,1,,,5,,78,7,,,,,,,,,,,,5,,,,,,,,6,,,11,,,,,1,,,,1,,,,4,20,,,,,,,2,
