,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,2.0,247.8519,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,6.0,313.3333,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,12.0,411.5555,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,24.0,608,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,36.0,804.4445,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,45.5,959.963,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,55.0,1072.899,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,64.0,1124.42,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,73.5,1178.804,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,83.0,1233.188,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,90.0,1273.261,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,101.5,1339.094,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,110.5,1390.616,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,1445,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,132.5,1500.818,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,143.0,1547.704,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,153.5,1594.591,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,164.0,1641.478,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,175.0,1690.598,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,185.0,1735.252,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,196.0,1784.371,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,206.5,1828.952,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,217.0,1872.379,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,228.0,1917.875,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,241.0,1971.643,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,252.0,2017.138,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,263.0,2062.634,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,273.5,2106.062,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,284.5,2151.557,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,295.5,2197.053,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,306.5,2242.548,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,317.0,2323.68,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,328.0,2487.673,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,338.5,2644.212,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,347.0,2770.935,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,360.0,2964.745,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,369.0,3098.922,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,377.0,3218.189,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,390.0,3412,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,403.0,3641.561,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,412.0,3800.488,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,425.0,4030.049,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,436.0,4224.292,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,447.5,4427.366,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,459.0,4633.3,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,470.0,4831.74,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,481.0,5030.18,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,492.0,5228.62,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,504.0,5445.1,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,515.0,5643.54,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,525.5,5832.96,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,535.0,6004.34,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,545.0,6184.74,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,555.0,6379.889,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,567.5,6658.063,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,577.0,6869.475,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,590.0,7158.775,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,600.0,7381.314,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,613.0,7670.615,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,622.5,7882.027,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,635.0,8160.201,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,645.0,8382.74,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,654.5,8594.152,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,661.0,8738.803,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,670.0,8939.088,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,676.5,9083.738,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,686.0,9255.078,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,692.5,9359.657,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,702.0,9512.502,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,715.0,9721.659,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,725.0,9882.549,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,734.5,10035.39,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,744.0,10188.24,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,754.0,10349.13,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,763.0,10493.93,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,773.0,10654.82,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,782.5,10807.67,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,792.0,10960.51,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,799.0,11138.66,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,811.0,11855.91,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,823.5,12200.59,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,833.0,12318.61,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,842.5,12436.63,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,852.5,12560.86,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,862.0,12678.87,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,872.0,12803.1,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,876.5,12859,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,886.0,12977.02,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,893.0,13063.98,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma