"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Caryophyllaceae","Castanea","Cyperaceae","Rubiaceae","Ephedra distachya-type","Ephedra fragilis-type","Centaurea jacea-type","Ficus carica","Fraxinus excelsior-type","Polypodium","Rosaceae","Rumex acetosa-type","Fraxinus ornus","Apiaceae","Triticum-type","Carpinus betulus","Cichorioideae","Pinus","Amaranthaceae","Anthemis-type","Mercurialis annua","Varia","Artemisia","Sparganium-type","Hedera","Juglans","Dinoflagellata","Erica","Unknown","Alnus","Ulmus","Phillyrea","Brassicaceae","Vitis","Fagus","Pistacia","Ostrya/Carpinus orientalis-type","Corylus","Poaceae","Botryococcus","Olea","Quercus pubescens/Q. robur-type","Quercus ilex-type","Bidens-type","Fabaceae","Humulus/Cannabis-type","Anthoceros laevis","Plantago lanceolata-type","Juniperus-type","Ranunculus acris-type","Pteridium","Urticaceae","Echium","Scabiosa columbaria-type","Anogramma","Platanus","Polypodiaceae","Myrtus communis","Dinoflagellata undiff.","Salix","Tilia","Poaceae (Cerealia-type)","Plantago maritima-type","Cladium","Acer","Rhamnus-type","Arbutus","Mentha-type","Valeriana officinalis-type","Potamogeton natans-type","Abies","Liliaceae","Solanum cf. S. nigrum-type","Bistorta officinalis-type","Prunella-type","Allium vineale-type","Plantago major/P. media-type","Pseudopediastrum boryanum","Fallopia convolvulus-type","Malvaceae","Secale","Thymelaeaceae","Celtis","Botrychium-type","Aspiromitus punctatus","Rhinanthus-type","Sanguisorba minor-type","Knautia arvensis-type","Sphagnum","Populus","Typha latifolia-type","Dipsacoideae","Cistus/Helianthemum","Citrus","Nerium oleander","Cryptogramma","Polygonum aviculare-type","Picea","Buxus","Campanulaceae","Centaurea montana-type","Cistus salviifolius","Taxus","Paliurus","Avena-type","Cucumis melo","Euphorbia","Centaurea cyanus-type","Viburnum opulus-type","Genista-type","Thalictrum","Viscum","Cercis","Hordeum-type","Lamium album-type","Nymphaea","Persicaria maculosa-type","Convolvulus arvensis-type","Armeria/Limonium","Pseudopediastrum kawraiskyi","Persicaria amphibia","Ceratonia","Ilex"
NA,NA,NA,380,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,5,6,6,7,7,8,8,8,9,12,12,14,15,16,16,17,18,21,31,32,39,40,41,49,144,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,385,1,3,NA,5,1,NA,NA,NA,4,3,NA,1,8,12,3,1,11,NA,5,6,1,14,12,8,8,5,1,13,12,35,10,8,18,16,16,27,36,32,31,60,58,57,164,652,1,1,1,1,2,3,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,375,NA,4,NA,5,NA,NA,NA,NA,1,2,NA,NA,18,9,5,2,8,1,4,6,3,10,16,11,10,5,8,39,3,57,13,9,25,14,14,8,27,39,22,65,39,81,198,572,1,1,1,NA,1,8,NA,9,1,1,1,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,371,NA,2,NA,7,NA,NA,NA,NA,1,2,1,1,16,9,NA,NA,31,1,4,8,NA,6,15,14,6,8,NA,24,12,25,17,24,31,17,7,41,20,79,69,69,43,42,172,515,NA,NA,1,NA,5,2,1,9,2,NA,NA,NA,NA,3,NA,2,1,1,1,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,390,NA,4,NA,7,NA,NA,1,NA,14,2,NA,NA,27,11,5,3,4,NA,5,8,1,5,23,12,12,7,2,20,7,56,19,24,36,16,10,34,22,54,52,86,40,65,121,768,3,NA,1,NA,3,1,3,16,5,NA,NA,NA,NA,6,5,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,395,1,4,NA,2,1,NA,NA,NA,2,2,1,NA,18,4,2,6,9,1,5,13,3,12,3,12,5,8,3,9,7,22,18,21,37,25,9,42,42,33,29,69,44,68,131,614,1,2,NA,NA,2,2,1,9,3,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,410,2,6,NA,8,NA,2,NA,NA,4,1,NA,1,29,10,1,5,9,NA,5,4,4,8,17,14,4,2,1,47,15,29,16,31,33,36,8,19,40,103,38,86,118,26,215,454,2,NA,4,NA,2,3,NA,10,3,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,424,2,20,NA,13,1,NA,NA,NA,2,2,1,NA,42,5,16,6,17,6,11,11,4,6,15,21,26,4,NA,187,31,36,41,9,11,12,6,66,42,123,81,190,417,8,345,259,2,3,2,NA,16,5,NA,115,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,2,8,100,10,NA,NA,1,NA,1,2,NA,1,5,10,8,4,12,3,15,9,5,2,11,21,3,1,4,547,13,40,44,32,4,4,6,38,59,50,29,37,63,8,449,111,3,NA,3,NA,4,4,1,76,NA,1,NA,NA,NA,2,28,20,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,415,1,9,NA,6,1,NA,NA,1,2,7,1,2,21,12,2,NA,5,3,4,8,2,5,8,19,12,NA,NA,39,9,46,6,23,17,25,7,40,23,47,28,69,136,17,171,597,6,NA,NA,NA,3,6,2,9,NA,1,NA,NA,NA,1,2,NA,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,1,9,NA,5,1,1,NA,NA,6,3,NA,NA,16,11,2,2,8,3,9,6,2,2,12,15,3,4,6,29,17,42,16,24,31,35,9,31,40,82,42,43,81,39,157,545,1,2,3,1,2,6,1,7,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,405,1,6,2,2,NA,NA,NA,1,1,1,NA,2,10,10,1,5,12,1,4,4,2,6,9,12,10,8,NA,23,9,29,8,25,27,24,8,40,31,57,38,58,96,55,142,560,NA,1,NA,1,1,3,1,12,NA,1,NA,NA,NA,3,1,3,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,275,33,8,83,14,1,1,NA,3,NA,1,NA,2,9,7,4,3,34,6,41,16,2,13,11,20,2,9,1,262,11,52,60,38,5,10,3,31,82,91,84,18,63,8,334,83,3,NA,5,NA,2,3,2,37,NA,NA,NA,NA,2,2,24,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,370,NA,5,44,10,1,NA,1,2,NA,1,1,NA,8,6,5,1,8,2,155,28,3,6,16,25,3,4,14,837,5,51,13,25,19,35,9,40,4,57,30,44,46,13,335,187,13,1,3,5,4,7,NA,50,NA,NA,NA,NA,25,5,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,315,1,15,48,6,NA,NA,1,NA,NA,1,1,1,9,5,9,3,11,7,151,33,3,7,13,44,NA,2,14,873,11,54,10,45,7,46,9,49,6,33,22,79,55,26,253,157,8,6,4,NA,8,23,NA,12,NA,NA,NA,1,83,4,1,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,325,NA,6,35,3,1,NA,2,5,NA,NA,1,NA,21,6,15,3,8,1,195,17,3,4,18,25,NA,3,23,545,10,50,20,49,6,47,7,38,10,38,34,63,39,20,231,184,11,8,5,1,6,38,NA,12,2,NA,NA,NA,20,NA,NA,10,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,297,NA,6,77,28,NA,NA,3,2,NA,3,NA,2,16,6,4,3,13,1,50,38,6,7,24,29,2,3,15,402,19,22,32,28,7,24,9,44,50,61,43,74,50,16,331,136,5,2,7,NA,9,2,3,90,NA,NA,NA,NA,8,9,3,84,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,300,3,9,13,17,1,NA,2,1,NA,NA,2,1,11,8,2,8,5,4,52,32,7,23,14,29,19,3,35,78,22,49,15,14,15,33,12,40,12,53,92,108,9,51,311,264,22,11,4,2,6,23,NA,68,NA,NA,1,NA,11,7,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,280,3,11,60,7,1,1,2,2,NA,4,2,NA,19,10,5,4,16,2,37,38,6,3,8,41,1,2,11,1211,21,48,66,29,7,7,15,39,58,66,67,61,37,26,471,57,9,3,NA,NA,4,2,3,83,NA,1,NA,NA,1,7,4,29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,305,5,12,35,16,NA,NA,NA,1,1,1,1,NA,17,5,12,15,15,7,138,19,4,44,13,33,16,1,12,1266,15,64,16,32,2,52,13,44,13,53,51,132,95,33,295,162,7,9,1,1,3,41,1,29,NA,NA,NA,NA,36,4,NA,9,5,NA,NA,2,NA,1,NA,NA,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,265,NA,6,78,11,1,1,2,2,NA,1,NA,NA,7,17,6,1,18,5,11,37,5,5,14,24,NA,5,4,67,11,37,70,18,8,19,5,22,122,74,27,43,18,5,393,85,1,1,3,NA,8,2,NA,53,1,4,NA,NA,2,1,30,3,2,3,NA,3,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,302,NA,5,29,15,1,1,1,3,NA,1,1,NA,17,7,5,4,18,4,128,26,10,6,24,25,1,5,12,564,11,29,11,64,9,59,8,31,6,55,31,99,15,20,222,151,4,4,NA,NA,6,97,NA,18,NA,NA,NA,2,132,11,1,19,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,340,1,15,47,7,NA,NA,NA,5,1,1,NA,3,19,5,22,2,7,8,157,40,6,15,25,23,2,4,19,214,9,56,15,49,11,91,12,50,3,58,33,101,63,32,241,150,5,14,3,2,10,77,1,11,NA,1,NA,NA,9,3,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,345,4,16,14,12,1,NA,1,2,NA,NA,1,NA,47,10,9,11,15,8,250,34,9,14,24,37,6,1,18,262,18,32,21,48,14,53,10,29,10,85,52,205,110,27,255,165,2,10,4,2,3,82,1,45,4,NA,NA,NA,11,2,NA,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,2,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,320,3,11,23,8,NA,1,2,2,NA,1,3,2,20,5,11,4,6,6,135,28,3,14,22,28,NA,2,23,744,5,29,14,53,6,45,5,32,10,57,31,156,86,22,197,114,NA,9,5,1,17,91,1,15,NA,NA,NA,NA,179,6,NA,27,1,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,420,5,17,NA,24,2,1,NA,NA,NA,5,2,NA,20,3,11,1,25,5,6,8,8,3,7,28,23,1,NA,331,33,12,60,9,3,14,7,94,27,206,52,122,280,4,302,195,5,1,1,NA,20,3,1,41,1,1,NA,NA,NA,4,1,NA,2,NA,1,1,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,2,8,14,13,NA,1,2,1,NA,2,NA,1,32,12,5,11,35,2,9,29,7,9,18,28,2,5,4,104,8,22,91,15,6,6,30,49,116,129,39,67,1,5,345,67,14,1,7,1,12,1,3,60,4,NA,NA,NA,NA,2,37,2,2,NA,2,6,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,290,5,11,34,26,1,2,3,2,NA,1,1,1,24,7,5,1,13,10,31,35,9,10,13,45,2,7,6,2376,17,44,65,30,6,8,10,46,85,102,58,83,73,17,408,99,4,NA,7,NA,4,1,NA,87,NA,1,1,NA,1,5,6,33,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,330,6,11,90,9,NA,1,1,3,1,1,1,2,40,16,27,5,10,7,141,25,13,21,32,45,5,3,25,211,17,47,22,78,12,46,8,37,4,48,25,133,131,22,196,124,4,25,NA,NA,12,107,5,10,2,NA,NA,NA,27,2,1,17,NA,1,NA,1,NA,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
NA,NA,NA,250,1,11,54,31,NA,NA,1,NA,1,NA,NA,2,40,8,4,6,11,6,48,21,11,16,13,30,4,5,23,995,14,31,39,26,4,19,14,47,87,71,44,97,32,42,346,126,6,2,8,2,5,4,NA,52,1,2,NA,1,4,4,16,52,1,NA,NA,3,NA,2,1,NA,1,NA,10,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
NA,NA,NA,350,8,14,6,28,1,1,NA,2,NA,NA,1,2,47,10,4,11,14,15,129,34,14,65,19,27,18,2,12,1743,24,34,21,31,7,34,27,51,12,65,42,253,66,56,328,196,9,9,4,1,18,55,4,27,4,NA,NA,NA,11,10,NA,26,2,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,292,1,7,60,39,NA,2,1,2,1,5,4,1,11,5,6,3,28,5,28,36,2,11,25,36,NA,3,16,862,23,31,46,39,7,21,9,68,58,64,66,123,33,19,339,113,12,3,11,1,9,7,5,146,NA,2,NA,NA,3,13,8,53,4,NA,NA,NA,1,4,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,255,1,18,18,29,1,2,1,3,NA,1,1,2,178,2,5,27,5,11,24,30,9,25,19,84,97,7,22,525,65,44,78,41,7,26,42,78,60,71,51,186,69,24,331,78,14,5,31,NA,17,8,5,36,2,9,NA,1,1,2,1,NA,5,NA,NA,2,2,3,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,13,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,335,5,11,59,12,3,NA,2,2,2,3,NA,1,34,12,20,25,8,16,179,28,13,21,38,36,1,3,32,905,10,48,23,63,7,80,28,33,6,45,35,174,115,28,197,94,7,26,3,NA,11,103,1,27,5,NA,NA,NA,27,2,1,7,NA,2,1,2,1,2,2,2,1,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
NA,NA,NA,360,6,21,10,30,NA,1,NA,1,1,1,NA,2,38,7,15,30,16,17,63,29,22,49,18,24,25,5,8,342,21,63,21,21,17,49,12,43,21,73,57,171,102,61,302,244,7,12,7,1,8,36,2,59,1,NA,NA,1,4,17,1,10,1,NA,NA,3,2,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
