Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Achyranthes aspera-type,Aerva javanica,Aerva lanata,Aizoaceae,Ambrosia,Anchusa-type,Andrachne,Arnebia,Artemisia,Asphodelus,Asystasia,Atractylis,Avicennia,Blepharis,Boraginaceae indt,Calligonum,Capparidaceae,Caryophyllaceae,Cassia,Celosia argentea-type,Celosia trigyna-type,Centaurea,Ceratopteris,Cheno-Am,Cistanche,Cleome,Cleome usambarica-type,Cocculus pendulus,Compositae liguliflorae,Compositae tubuliflorae,Compositae tubuliflorae a longues epine,Convolvulaceae,Convolvulus,Cruciferae,Cyperaceae,Dipterygium,Dodonaea,Enicostema-type,Ephedra lisse,Ephedra non-lisse,Ericaceae,Euphorbia,Euphorbia hirta,Fagonia,Galium-type,Gramineae,Heliotropium,Hygrophylla,Indeterminables,Indetermines,Ipomoea,Juniperus,Kedrostis,Kohautia,Labiatae,Labiatae-type 6,Limonium,Lippia,Lotus arabicus,Monocotyledonae,Monsonia,Myrica,Nyctagynaceae,Olea,Papilionaceae,Paronychia,Pimpinella anisum-type,Pinus,Plantago,Podocarpus,Polycarpaea,Polycarpon,Polygala,Polygonum senegalense,Polypodium,Prosopis-type,Pteris,Pupalia lappacea-type,Resedaceae,Rumex,Ruppia,Salix,Salvadora,Spore monolete,Spore trilete,Suaeda-type,Symphytum-type,Tamarix,Tribulus,Trichodesma-type,Triumfetta,Typha,Umbelliferae,Urticaceae,Vernonia perrotettii,Veronica,Ziziphus,Zygophyllum,cf Combretum
0,1.5,0,0,24,0,0,1,0,1,0,0,1,0,0,4,2,1,0,0,6,0,0,5,0,1,1,0,4,0,0,0,1,0,0,2,0,0,12,0,3,0,0,0,0,0,164,0,0,13,0,4,2,54,0,2,0,6,0,6,0,102,0,2,9,0,0,48,0,1,0,0,0,0,4,0,3,0,0,7,0,2,5,0,0,16,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,6
0,4,1,0,16,1,3,2,0,2,2,0,0,0,2,4,0,2,0,1,1,0,0,4,0,2,0,0,0,0,2,3,0,0,0,3,0,0,8,0,2,1,0,0,0,0,74,0,0,15,0,3,0,38,1,2,0,4,0,12,0,126,1,2,18,0,0,57,0,0,0,0,0,0,6,0,6,0,0,5,0,0,6,1,0,4,0,0,0,2,0,0,0,0,4,2,0,0,1,0,0,10
0,7,0,0,11,0,3,1,0,1,0,1,0,0,0,7,0,1,0,3,2,0,0,3,0,1,0,0,2,0,0,1,2,0,0,1,0,0,6,0,1,0,0,0,0,0,111,0,0,13,0,1,4,59,0,0,0,4,0,4,0,89,0,0,14,0,0,33,2,0,0,0,0,0,2,0,4,0,0,6,0,0,1,0,1,1,0,2,1,0,0,0,1,0,6,2,0,0,0,0,0,9
0,11,194,0,0,0,0,0,3,1,0,0,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,4,0,0,0,1,0,0,0,2,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,7
0,13.5,152,0,0,0,0,0,3,0,1,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,1,5
0,14.5,89,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7
0,15.5,1,4,22,0,2,1,0,3,0,0,0,0,1,5,0,0,0,0,11,0,0,1,1,7,0,0,2,0,0,0,1,0,0,0,0,0,8,0,4,0,0,0,0,0,94,0,1,18,0,3,0,35,0,1,0,4,0,5,0,123,0,0,23,1,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0,17.25,2,0,11,1,3,0,0,3,1,0,1,2,0,6,0,0,0,0,10,0,0,0,1,0,0,0,7,0,1,0,1,0,0,0,0,0,3,0,1,7,0,0,0,0,62,0,0,12,0,6,2,45,0,13,1,1,0,3,0,135,1,0,29,0,1,142,2,0,0,1,0,0,1,0,3,0,0,55,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,1,0,0,0,0,0
0,21.25,2,1,7,0,0,3,0,3,1,1,0,1,0,5,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,50,0,0,6,0,3,1,43,0,2,0,4,1,4,0,94,0,3,7,0,0,56,4,0,0,0,0,0,1,0,2,0,0,7,0,0,0,1,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,9
0,24.25,0,0,12,2,1,0,0,1,0,1,0,0,0,2,0,0,0,0,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,71,0,0,9,0,20,2,38,0,4,0,5,0,3,0,80,0,0,8,0,2,35,0,0,0,0,1,0,2,0,0,7,0,5,0,115,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,15
5525.864,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,75,0,0,1,0,0,37,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,2
5596.591,143,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,14,0,0,7,0,0,3,3,0,1,0,0,0,0,0,132,0,1,5,0,0,60,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,6,0,0,0,0,0,9,0,0,0,3,0,0,9
5653.846,151.5,1,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,40,1,0,5,0,1,7,6,0,2,0,3,1,2,0,72,0,4,0,0,0,104,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,13,0,0,1,0,0,6,0,1,0,0,0,0,4
5700.998,158.5,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,2,2,0,2,0,0,0,1,0,0,0,0,0,1,1,43,6,0,12,0,3,4,2,0,4,0,1,0,0,0,110,1,1,3,0,0,110,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,0,9
5741.414,164.5,0,0,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,2,0,1,0,0,0,4,138,8,0,10,0,3,7,19,0,2,0,0,0,3,0,61,0,1,7,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,6
5761.621,167.5,1,2,2,7,1,0,0,1,0,0,0,0,0,4,0,0,0,0,5,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,57,12,0,10,0,9,1,25,0,2,0,2,0,1,0,66,0,1,2,0,0,84,2,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,1,0,0,0,6,0,0,1,0,1,4,1,0,0,0,0,0,7
5785.197,171,1,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,6,1,0,4,0,1,1,0,2,0,1,0,2,0,0,1,0,0,0,0,0,6,4,0,0,4,63,35,1,11,0,4,0,15,0,3,2,1,0,3,0,56,0,3,6,0,0,28,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,2,0,0,0,0,0,8
5808.773,174.5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,2,0,0,2,0,1,0,0,0,1,69,13,0,7,2,1,1,10,0,1,0,2,0,6,1,58,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2
5842.452,179.5,2,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,1,0,11,0,0,4,0,0,0,0,4,0,0,0,5,0,0,2,0,0,1,0,0,4,0,0,0,5,108,17,0,15,0,2,1,14,0,0,0,0,0,2,0,60,0,2,2,0,0,44,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,7
5879.5,185,0,1,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,2,10,0,0,0,1,0,0,1,0,0,3,2,0,1,2,0,0,3,121,16,0,18,0,5,1,3,0,1,0,0,0,6,0,74,0,1,12,0,0,40,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,10
