"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sanguisorba","Scrophulariaceae","Apiaceae","Juniperus-type","Cardueae","Erica arborea-type","Pteridophyta (trilete) undiff.","Cercophora-type/Cercophora sp. (type 112, HdV)","Coniochaeta cf. C. ligniaria","Fungi (type 18, HdV)","Amaranthaceae","Pteridium aquilinum","Pleospora","Caryophyllaceae","Liliaceae undiff.","Salix","Rosaceae undiff.","Fraxinus","Aster-type","Pseudoschizaea circula","Cistus-type","Gelasinospora","Glomus","Quercus pyrenaica-type","Fabaceae undiff.","Sordaria","Brassicaceae","Byssothecium circinans","Quercus ilex-type","Pinus pinaster","Pinus sylvestris/P. nigra-type","Phillyrea","Cichorioideae","Olea europaea","Cyperaceae","Cytisus/Genista-type","Pinus pinea-type","Poaceae","Allium-type","Asphodelus albus-type","Rumex acetosa-type","Poaceae (Cerealia)","Trichocladium opacum (type 10, HdV)","Botrychium","Sporormiella","Plantago lanceolata-type","Podospora","Chaetomium","Castanea","Malva sylvestris-type","cf. Richonia variospora (type 140, HdV)","Geranium","Prunus-type","Lamiaceae","Lasiosphaeria sp.","Algae? (type 225, HdV)","Pistacia lentiscus","Cedrus","Helianthemum-type","Spirogyra sp. (type 315, HdV)","Artemisia","Polypodiophyta (monolete)","Boraginaceae","Zygnema-type","Corylus","Alnus","Centaurea cyanus","Armeria","Ranunculus","Buxus","Erodium","Jasione-type","Entorrhiza sp. (type HdV-527)","Abies","Centaurea nigra-type","Vicia faba-type","Berberis"
-63,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,5,5,6,6,7,7,8,10,10,11,12,14,23,26,30,31,32,49,67,129,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,3,NA,1,1,NA,1,NA,NA,3,2,1,1,1,7,11,5,3,1,6,1,25,5,27,11,6,15,42,5,28,7,3,8,12,140,NA,92,13,20,270,1,1,2,3,4,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,5,NA,3,2,1,NA,NA,2,14,NA,NA,1,1,5,11,7,2,NA,5,7,43,3,30,5,7,18,25,8,17,15,NA,13,12,118,NA,78,18,20,251,NA,NA,NA,5,NA,NA,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,7,NA,NA,5,NA,3,NA,NA,11,NA,NA,1,1,6,13,3,5,3,5,7,32,1,15,5,8,16,41,7,30,12,1,8,15,116,NA,60,15,24,251,NA,NA,1,6,NA,6,1,1,NA,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,NA,NA,9,NA,NA,NA,NA,1,NA,NA,20,NA,NA,1,1,NA,12,3,7,NA,3,10,39,1,53,7,5,23,33,19,36,12,NA,3,7,195,NA,80,23,19,235,NA,NA,NA,NA,NA,8,27,NA,1,2,NA,3,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,11,NA,2,NA,1,2,3,NA,36,NA,NA,1,5,10,15,6,5,2,5,5,50,2,40,14,8,18,52,18,48,12,NA,8,10,160,NA,101,22,12,222,NA,NA,1,4,NA,5,14,1,NA,NA,NA,NA,NA,NA,NA,1,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,NA,NA,13,NA,1,6,NA,1,NA,NA,16,10,3,NA,NA,NA,6,4,3,2,2,7,26,1,40,11,3,14,16,6,16,8,NA,8,1,165,1,70,1,8,245,NA,NA,NA,NA,NA,5,14,1,2,1,NA,NA,NA,NA,NA,1,4,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,NA,NA,15,NA,2,2,NA,1,1,NA,2,NA,NA,1,2,NA,8,3,4,3,2,3,46,1,35,3,5,23,18,11,18,5,NA,11,5,187,NA,90,22,18,210,NA,NA,2,2,NA,15,15,4,NA,5,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,NA,NA,17,NA,2,4,3,5,3,18,3,19,NA,1,3,NA,18,6,NA,1,6,13,710,NA,91,51,5,20,16,2,18,8,NA,6,4,142,2,28,36,24,200,2,NA,NA,NA,NA,160,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,NA,NA,NA,2,NA,NA,3,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676,NA,NA,19,NA,NA,1,4,11,1,3,11,7,NA,1,NA,3,29,3,1,4,6,NA,346,4,28,12,3,17,15,11,16,3,NA,NA,NA,211,NA,38,21,4,196,2,NA,NA,4,NA,49,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,NA,NA,21,NA,NA,1,8,4,1,20,NA,5,NA,NA,2,NA,10,5,1,4,7,7,224,7,48,46,NA,19,NA,10,13,1,NA,12,NA,154,NA,27,54,5,204,8,NA,NA,3,NA,58,20,1,NA,NA,NA,NA,NA,NA,1,1,1,7,NA,NA,6,3,NA,1,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,NA,NA,23,NA,NA,1,5,2,NA,7,NA,6,NA,1,1,NA,12,5,5,1,3,14,298,5,83,57,1,28,12,15,39,3,1,13,NA,162,NA,28,29,21,168,7,NA,NA,1,1,106,19,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,NA,NA,25,NA,NA,1,3,7,1,9,NA,5,NA,NA,1,2,12,2,NA,3,5,16,242,3,32,24,1,24,8,3,3,5,NA,1,NA,120,NA,29,71,7,240,4,NA,NA,2,NA,32,NA,1,NA,NA,NA,NA,NA,NA,2,2,4,15,1,NA,2,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA
1045,NA,NA,27,NA,2,1,5,9,3,14,NA,10,NA,NA,1,1,13,NA,NA,5,5,9,110,3,20,30,2,25,14,3,5,NA,NA,3,2,120,NA,26,94,5,243,2,NA,NA,2,1,47,2,1,3,NA,NA,NA,NA,NA,2,1,NA,12,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
1152,NA,NA,29,NA,5,1,6,2,NA,NA,NA,5,NA,4,NA,1,8,1,NA,7,5,5,135,4,19,30,4,18,3,1,9,3,NA,11,3,128,NA,45,76,5,270,1,NA,NA,NA,9,70,1,1,NA,NA,NA,2,NA,NA,5,NA,NA,12,NA,NA,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,NA,NA,31,NA,2,NA,5,4,2,4,NA,4,NA,3,1,1,9,2,1,4,4,12,97,4,32,38,2,23,NA,NA,58,9,NA,5,3,112,NA,58,98,5,280,2,NA,NA,NA,14,65,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1368,NA,NA,33,NA,3,NA,7,5,6,NA,1,6,NA,8,3,NA,16,4,2,2,5,12,NA,3,44,40,3,20,10,11,70,12,NA,5,5,96,NA,66,120,5,284,NA,1,NA,NA,70,42,46,NA,NA,NA,1,NA,NA,NA,7,2,NA,12,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1475,NA,NA,35,NA,NA,3,5,7,1,NA,NA,7,NA,NA,3,1,16,NA,3,5,3,14,60,8,54,38,3,18,12,7,90,5,1,7,3,58,NA,22,102,3,280,NA,1,NA,NA,33,38,30,NA,NA,NA,NA,NA,NA,NA,4,3,2,30,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1583,NA,NA,37,NA,2,NA,7,5,1,NA,NA,3,NA,1,NA,NA,15,7,NA,3,2,14,37,4,54,21,3,18,4,4,40,7,NA,2,3,60,NA,53,112,5,320,NA,NA,NA,1,NA,14,16,NA,NA,NA,NA,NA,NA,NA,5,3,7,14,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1691,NA,NA,39,NA,3,1,7,6,2,NA,NA,2,NA,2,5,NA,11,4,2,6,3,24,40,10,84,16,3,26,20,5,70,6,NA,5,4,72,NA,20,104,4,280,NA,NA,NA,NA,NA,22,38,1,NA,NA,NA,NA,NA,NA,8,NA,NA,36,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1798,NA,NA,41,NA,6,1,4,20,10,NA,NA,3,NA,NA,2,NA,16,8,NA,9,6,10,26,19,84,32,4,24,24,8,104,14,NA,5,7,90,NA,50,108,5,218,NA,NA,NA,NA,NA,20,46,1,3,NA,1,NA,NA,NA,12,5,1,32,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2083,NA,NA,43,NA,5,2,12,16,6,NA,NA,2,NA,NA,8,NA,12,10,2,7,6,12,44,12,64,36,4,36,10,10,100,10,NA,2,2,90,NA,34,90,2,240,NA,NA,1,NA,NA,20,40,3,3,NA,NA,NA,NA,NA,15,2,6,32,NA,NA,8,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2
2545,NA,NA,45,NA,6,8,8,18,9,NA,NA,NA,NA,2,8,NA,16,12,2,11,4,14,60,8,70,44,7,22,10,12,203,16,NA,2,1,65,NA,34,53,5,251,NA,2,NA,NA,NA,12,26,NA,NA,NA,NA,NA,NA,NA,11,2,14,42,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
3007,NA,NA,47,NA,1,2,11,14,12,NA,NA,NA,NA,1,16,NA,20,11,4,8,5,19,34,10,38,30,4,14,4,7,133,18,NA,4,3,28,NA,38,39,9,260,NA,3,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,NA,6,1,12,46,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
3469,NA,NA,49,NA,1,4,9,15,8,NA,NA,1,NA,1,11,NA,24,9,4,5,3,23,45,9,38,43,6,19,3,5,98,19,NA,7,4,26,NA,35,43,8,312,NA,2,NA,NA,NA,6,14,NA,1,NA,NA,NA,NA,NA,9,1,14,54,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1
